event_date,source,source_id,source_detail,actors,nearest_corpus_event,days_to_corpus
1987-01-05,icb,371,SINO/VIETNAM BORDER 1987-01-05..1987-01-10 viol 3.0,710;816,iraq_kharg_1986,146
1987-01-27,mid,2740,dispute 2740 IRN-USA 1987-01-27..1988-07-03 hihost 4,2;630,iraq_kharg_1986,168
1987-01-28,icb,372,PUNJAB WAR SCARE II 1987-01-28..1987-02-19 viol 1.0,750;770,iraq_kharg_1986,169
1987-02-12,icb,373,TODGHERE INCIDENT 1987-02-12..1987-04-28 viol 3.0,520,earnest_will_1987,160
1987-02-15,icb,374,SYRIAN INT./LEBANON 1987-02-15..1987-04-06 viol 3.0,652,earnest_will_1987,157
1987-02-25,icb,375,SAND WALL 1987-02-25..1987-05-04 viol 3.0,435;600;615,earnest_will_1987,147
1987-03-01,icb,376,AEGEAN SEA III 1987-03-01..1987-03-28 viol 1.0,350;640,earnest_will_1987,143
1987-04-21,mid,2826,dispute 2826 IRN-RUS 1987-04-21..1987-11-02 hihost 4,365;630,earnest_will_1987,92
1987-05-02,icb,377,CAMEROON/NIGERIA II 1987-05-02..1987-09-26 viol 1.0,475,earnest_will_1987,81
1987-05-11,mid,2797,dispute 2797 IRN-KUW 1987-05-11..1988-05-20 hihost 4,630;690,earnest_will_1987,72
1987-05-17,mid,2739,dispute 2739 IRQ-USA 1987-05-17..1987-05-18 hihost 4,2;645,earnest_will_1987,66
1987-05-22,mid,2796,dispute 2796 IRN-QAT 1987-05-22..1987-05-22 hihost 4,630;694,earnest_will_1987,61
1987-06-01,mid,2799,dispute 2799 IRN-TUR 1987-06-01..1988-03-27 hihost 4,630;640,earnest_will_1987,51
1987-06-03,icb,378,INDIA INT./SRI LANKA 1987-06-03..1987-07-28 viol 1.0,750;780,earnest_will_1987,49
1987-06-08,mid,2782,dispute 2782 CHN-TAW 1987-06-08..1987-09-28 hihost 4,710;713,earnest_will_1987,44
1987-06-28,mid,2823,dispute 2823 FRN-IRN 1987-06-28..1988-01-20 hihost 4,220;630,earnest_will_1987,24
1987-07-28,icb,379,MECCA PILGRIMAGE 1987-07-28..1987-10-01 viol 3.0,630;670,bridgeton_mine_strike_1987,4
1987-07-28,mid,2786,dispute 2786 IRQ-SYR 1987-07-28..1987-07-28 hihost 4,645;652,bridgeton_mine_strike_1987,4
1987-08-02,mid,2798,dispute 2798 IRN-SAU 1987-08-02..1988-04-24 hihost 4,630;670,bridgeton_mine_strike_1987,9
1987-08-08,ucdp,788,"dyad 788 Government of Chad vs Government of Libya (Chad, Libya) onset 1987-08-08 intensity 2",483;620,bridgeton_mine_strike_1987,15
1987-08-13,mid,2812,dispute 2812 COL-VEN 1987-08-13..1987-09-05 hihost 4,100;101,bridgeton_mine_strike_1987,20
1987-08-21,mid,2788,dispute 2788 IRQ-TUR 1987-08-21..1987-09-23 hihost 4,640;645,bridgeton_mine_strike_1987,28
1987-09-24,mid,2741,dispute 2741 PAN-USA 1987-09-24..1988-04-08 hihost 4,2;95,bridgeton_mine_strike_1987,62
1987-10-03,icb,380,S. AFRICA INTERVENTION IN ANGOLA 1987-10-03..1988-08-22 viol 3.0,540;560,bridgeton_mine_strike_1987,71
