event_date,actors,source,source_id,source_detail,suggested_title
1946-03-15,China; China vs Communists,COW War v4.1 intra-state,WarNum 725,"Chinese Civil War, Phase 2; 1946-03-15..1950-04-21",
1946-04-01,France; ccode 800,Dyadic MID 4.03,disno 1792,"hihost 4 (use of force); dyads FRN-THI, THI-FRN; 1946-04-01..1946-12-07",
1946-06-28,USSR/Russia,ICB v16,crisno 110,COMMUNISM IN POLAND; 1946-06-28..1947-01-19; viol 1; forout 6,
1946-08-07,United States; Turkey,ICB v16,crisno 111,TURKISH STRAITS; 1946-08-07..1946-10-26; viol 1; forout 4,
1946-08-09,United States; ccode 345,Dyadic MID 4.03,disno 3193,"hihost 4 (use of force); dyads USA-YUG, YUG-USA; 1946-08-09..1946-08-28",
1946-10-05,United Kingdom; ccode 345,Dyadic MID 4.03,disno 3192,"hihost 4 (use of force); dyads UKG-YUG, YUG-UKG; 1946-10-05..1946-10-05",
1947-02-10,ccode 310; USSR/Russia,ICB v16,crisno 113,COMMUNISM IN HUNGARY; 1947-02-10..1947-06-01; viol 1; forout 4,
1947-02-21,United States; ccode 350; Turkey,ICB v16,crisno 114,TRUMAN DOCTRINE; 1947-02-21..1947-05-22; viol 1; forout 4,
1947-02-28,China; China vs Taiwanese,COW War v4.1 intra-state,WarNum 726,Taiwan Revolt; 1947-02-28..1947-03-21,
1947-05-12,USSR/Russia; China,Dyadic MID 4.03,disno 3265,"hihost 4 (use of force); dyads CHN-RUS, RUS-CHN; 1947-05-12..1948-02-28",
1947-07-03,ccode 315; USSR/Russia,ICB v16,crisno 115,MARSHALL PLAN; 1947-07-03..1947-07-11; viol 1; forout 4,
1947-07-21,ccode 210; Indonesia,ICB v16,crisno 116,INDONESIA INDEP. II; 1947-07-21..1948-01-17; viol 4; forout 1,
1947-08-17,India; ccode 770,ICB v16,crisno 118,JUNAGADH; 1947-08-17..1948-02-24; viol 2; forout 4,
1947-09-26,India; ccode 770,Dyadic MID 4.03,disno 1238,"hihost 5 (war); dyads IND-PAK, PAK-IND; 1947-09-26..1948-12-28",
1947-10-24,India; ccode 770,ICB v16,crisno 119,KASHMIR I; 1947-10-24..1949-01-01; viol 4; forout 1,
1947-10-26,India (side 1); ccode 770 (side 2),COW War v4.0 inter-state,WarNum 147,First Kashmir; 2 participants; battle deaths 3500,
