source,source_id,event_date,inside_big_move,episode_id,monthly_move_pct,wti_chg_3m_pct
COW War v4.1 intra-state,WarNum 725,1946-03-15,False,,,8.55
Dyadic MID 4.03,disno 1792,1946-04-01,False,,,0.0
ICB v16,crisno 110,1946-06-28,False,,,19.69
ICB v16,crisno 111,1946-08-07,False,,,0.0
Dyadic MID 4.03,disno 3193,1946-08-09,False,,,0.0
Dyadic MID 4.03,disno 3192,1946-10-05,False,,,6.58
ICB v16,crisno 113,1947-02-10,False,,,15.43
ICB v16,crisno 114,1947-02-21,False,,,15.43
COW War v4.1 intra-state,WarNum 726,1947-02-28,False,,,15.43
Dyadic MID 4.03,disno 3265,1947-05-12,False,,,0.0
ICB v16,crisno 115,1947-07-03,False,,,0.0
ICB v16,crisno 116,1947-07-21,False,,,0.0
ICB v16,crisno 118,1947-08-17,False,,,10.7
Dyadic MID 4.03,disno 1238,1947-09-26,True,wti_1947-10-01,37.4,10.7
ICB v16,crisno 119,1947-10-24,True,wti_1947-10-01,37.4,37.43
COW War v4.0 inter-state,WarNum 147,1947-10-26,True,wti_1947-10-01,37.4,37.43
ICB v16,crisno 120,1947-11-28,True,wti_1947-10-01,37.4,24.15
Dyadic MID 4.03,disno 2840,1948-01-17,False,,,0.0
ICB v16,crisno 121,1948-02-13,False,,,0.0
COW War v4.1 intra-state,WarNum 728,1948-02-17,False,,,0.0
Dyadic MID 4.03,disno 26,1948-03-21,False,,,0.0
COW War v4.1 intra-state,WarNum 731,1948-04-09,False,,,0.0
Dyadic MID 4.03,disno 1793,1948-05-14,False,,,0.0
COW War v4.0 inter-state,WarNum 148,1948-05-15,False,,,0.0
Dyadic MID 4.03,disno 1042,1948-06-01,False,,,0.0
ICB v16,crisno 123,1948-06-07,False,,,0.0
Dyadic MID 4.03,disno 2020,1948-07-21,False,,,0.0
ICB v16,crisno 124,1948-08-21,False,,,0.0
ICB v16,crisno 125,1948-09-23,False,,,0.0
ICB v16,crisno 127,1948-12-19,False,,,0.0
ICB v16,crisno 128,1948-12-25,False,,,0.0
Dyadic MID 4.03,disno 3229,1949-01-07,False,,,0.0
Dyadic MID 4.03,disno 2625,1949-04-14,False,,,0.0
Dyadic MID 4.03,disno 1603,1949-05-19,False,,,0.0
Dyadic MID 4.03,disno 604,1949-07-01,False,,,0.0
Dyadic MID 4.03,disno 1286,1949-08-13,False,,,0.0
Dyadic MID 4.03,disno 633,1949-10-01,False,,,0.0
Dyadic MID 4.03,disno 634,1949-10-01,False,,,0.0
