rank,tier,date,actors,label,n_records,families,multi_source,producer,transit,severity_why,via_amendment_1,records,route_predicted,route_tested
1,A,1946-08-07,Turkey / United States,TURKISH STRAITS / hihost 4 (use of force),2,ICB+MID,1,1,1,MID hihost 4,0,ICB v16|crisno 111 ; Dyadic MID 4.03|disno 3193,,
2,A,1948-05-14,Egypt / Iraq / Israel / Jordan / Lebanon / Syria,Arab-Israeli / hihost 4 (use of force) / hihost 5 (war),3,COW+MID,1,1,1,COW inter-state war; MID hihost 4; MID hihost 5,0,Dyadic MID 4.03|disno 1793 ; COW War v4.0 inter-state|WarNum 148 ; Dyadic MID 4.03|disno 1042,,
3,A,1948-12-25,Egypt / Israel / Jordan / United Kingdom,SINAI INCURSION / hihost 4 (use of force),2,ICB+MID,1,1,1,ICB viol 3; MID hihost 4,0,ICB v16|crisno 128 ; Dyadic MID 4.03|disno 3229,,
4,A,1950-06-05,Canada / China / Colombia / Ethiopia / France / South Korea,KOREAN WAR I / Korean / hihost 4 (use of force),3,COW+ICB+MID,1,1,1,COW inter-state war; ICB viol 4; MID hihost 4,0,Dyadic MID 4.03|disno 2008 ; COW War v4.0 inter-state|WarNum 151 ; ICB v16|crisno 132,,
5,A,1950-09-28,Canada / China / Colombia / France / South Korea / Turkey,KOREAN WAR II / hihost 5 (war),2,ICB+MID,1,1,1,ICB viol 4; MID hihost 5,0,Dyadic MID 4.03|disno 51 ; ICB v16|crisno 133,,
6,A,1953-06-17,USSR/Russia,E. GERMAN UPRISING / hihost 4 (use of force),2,ICB+MID,1,1,0,ICB viol 3; MID hihost 4,0,ICB v16|crisno 141 ; Dyadic MID 4.03|disno 2036,,
7,A,1954-08-24,China / United States,Off-shore Islands / TAIWAN STRAIT I / hihost 4 (use of force),3,COW+ICB+MID,1,1,0,COW inter-state war; ICB viol 3; MID hihost 4,0,Dyadic MID 4.03|disno 2987 ; ICB v16|crisno 146 ; COW War v4.0 inter-state|WarNum 153,,
8,A,1955-02-24,Egypt / Israel / Syria,BAGHDAD PACT / GAZA RAID-CZECH. ARMS / hihost 4 (use of force),3,ICB+MID,1,1,1,ICB viol 3; MID hihost 4,0,ICB v16|crisno 148 ; ICB v16|crisno 149 ; Dyadic MID 4.03|disno 3418,,
9,A,1956-07-22,China / Egypt / France / Israel / USSR/Russia / United Kingdom,SUEZ NATN.-WAR / hihost 4 (use of force),4,ICB+MID,1,1,1,ICB viol 4; MID hihost 4,0,Dyadic MID 4.03|disno 2986 ; ICB v16|crisno 152 ; Dyadic MID 4.03|disno 605 ; Dyadic MID 4.03|disno 53,,
10,A,1956-10-15,USSR/Russia,HUNGARIAN UPRISING / POLAND LIBERALIZATION / Soviet Invasion of Hungary,4,COW+ICB+MID,1,1,0,COW inter-state war; ICB viol 3; MID hihost 5,0,ICB v16|crisno 154 ; Dyadic MID 4.03|disno 606 ; ICB v16|crisno 155 ; COW War v4.0 inter-state|WarNum 156,,
11,A,1957-04-03,Egypt / Iraq / Israel / Jordan / Syria / Turkey,JORDAN REGIME / hihost 4 (use of force),3,ICB+MID,1,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3375 ; ICB v16|crisno 157 ; Dyadic MID 4.03|disno 607,,
12,A,1958-05-07,China / India / Japan / USSR/Russia / United States,TAIWAN STRAIT II / hihost 4 (use of force) / hihost 5 (war),6,ICB+MID,1,1,0,ICB viol 3; MID hihost 4; MID hihost 5,0,Dyadic MID 4.03|disno 2853 ; Dyadic MID 4.03|disno 2852 ; Dyadic MID 4.03|disno 2215 ; Dyadic MID 4.03|disno 1707 ; ICB v16|crisno 166 ; Dyadic MID 4.03|disno 173,,
13,A,1958-05-08,Jordan / Lebanon / United Kingdom / United States,First Lebanese / IRAQ/LEB. UPHEAVAL,2,COW+ICB,1,1,1,"COW intra-state war, producer state party (Amendment 1)",1,ICB v16|crisno 165 ; COW War v4.1 intra-state|WarNum 743,,
