row_id,event_id,type,severity,surprise,date
1,china_yuan_deval_2015,demand_shock,3,4,2015-08-11
2,cpc_kropotkinskaya_drone_2025,infrastructure_attack,4,4,2025-02-17
3,egypt_revolution_2011,conflict_escalation,3,4,2011-01-25
4,gabon_coup_2023,conflict_escalation,2,3,2023-08-30
5,indonesia_palm_ban_2022,sanctions,3,4,2022-04-28
6,iran_pgpic_sanctions_2019,sanctions,2,3,2019-06-07
7,iraq_sanctions_lifted_2003,sanctions,4,3,2003-05-22
8,iraq_war_begins_2003,conflict_escalation,4,2,2003-03-20
9,opec_2009_05_28,opec_decision,2,2,2009-05-28
10,opec_cut_abuja_dec_2006,opec_decision,3,2,2006-12-14
11,opec_declines_cut_2014,opec_decision,4,4,2014-11-27
12,opec_record_cut_oran_2008,opec_decision,5,3,2008-12-17
13,redsea_houthi_resume_2025,chokepoint_disruption,3,3,2025-07-06
14,russia_pricecap_enforce_2023,sanctions,2,3,2023-11-16
15,russia_sectoral_sanctions_2014,sanctions,3,3,2014-07-16
16,spr_release_2022,policy_response,4,3,2022-03-31
17,thai_baht_float_1997,demand_shock,3,4,1997-07-02
18,us_recession_2001_onset,demand_shock,3,3,2001-03-01
19,vnm_rice_suspend_2020,policy_response,4,4,2020-03-25
20,yukos_yugansk_auction_2004,policy_response,3,3,2004-12-19
