date,value
2019-01-01,1141463
2019-01-02,776236
2019-01-03,884041
2019-01-04,1579891
2019-01-05,1370689
2019-01-06,952788
2019-01-07,1117375
2019-01-08,484817
2019-01-09,721404
2019-01-10,754716
2019-01-11,1113796
2019-01-12,342195
2019-01-13,728374
2019-01-14,1189427
2019-01-15,584945
2019-01-16,818881
2019-01-17,609656
2019-01-18,789751
2019-01-19,270568
2019-01-20,814092
2019-01-21,484254
2019-01-22,914471
2019-01-23,635510
2019-01-24,509278
2019-01-25,673783
2019-01-26,674638
2019-01-27,397046
2019-01-28,963446
2019-01-29,1195237
2019-01-30,763520
2019-01-31,813904
2019-02-01,538712
2019-02-02,586262
2019-02-03,1786080
2019-02-04,740538
2019-02-05,468369
2019-02-06,978074
2019-02-07,1244427
2019-02-08,619482
2019-02-09,1059136
2019-02-10,1293220
2019-02-11,803467
2019-02-12,613928
2019-02-13,364632
2019-02-14,420622
2019-02-15,1061438
2019-02-16,856396
2019-02-17,1108793
2019-02-18,1180080
2019-02-19,692534
2019-02-20,599821
2019-02-21,581880
2019-02-22,983672
2019-02-23,554574
2019-02-24,1564901
2019-02-25,398089
2019-02-26,1059027
2019-02-27,570555
2019-02-28,959783
2019-03-01,548841
2019-03-02,975347
2019-03-03,1448272
2019-03-04,563478
2019-03-05,872339
2019-03-06,371528
2019-03-07,844547
2019-03-08,908151
2019-03-09,897279
2019-03-10,1199674
2019-03-11,833127
2019-03-12,1101913
2019-03-13,865124
2019-03-14,1319980
2019-03-15,975569
2019-03-16,1489924
2019-03-17,1079156
2019-03-18,677788
2019-03-19,429540
2019-03-20,739993
2019-03-21,779022
2019-03-22,244205
2019-03-23,700659
2019-03-24,528140
2019-03-25,1526027
2019-03-26,1077084
2019-03-27,1077587
2019-03-28,246522
2019-03-29,617873
2019-03-30,549239
2019-03-31,639021
2019-04-01,990540
2019-04-02,1138945
2019-04-03,865729
2019-04-04,666988
2019-04-05,676194
2019-04-06,742130
2019-04-07,1596304
2019-04-08,1018664
2019-04-09,495239
2019-04-10,868087
2019-04-11,1741884
2019-04-12,1354203
2019-04-13,888227
2019-04-14,914096
2019-04-15,1427919
2019-04-16,734779
2019-04-17,735290
2019-04-18,1517717
2019-04-19,554718
2019-04-20,591229
2019-04-21,788186
2019-04-22,556085
2019-04-23,683142
2019-04-24,1153678
2019-04-25,1194750
2019-04-26,997410
2019-04-27,1173573
2019-04-28,527972
2019-04-29,540692
2019-04-30,605916
2019-05-01,1191909
2019-05-02,794501
2019-05-03,1312611
2019-05-04,642661
2019-05-05,1434142
2019-05-06,929899
2019-05-07,766195
2019-05-08,1616944
2019-05-09,589843
2019-05-10,729940
2019-05-11,1034360
2019-05-12,785204
2019-05-13,663653
2019-05-14,377801
2019-05-15,822841
2019-05-16,1017593
2019-05-17,420445
2019-05-18,1771308
2019-05-19,1103449
2019-05-20,465628
2019-05-21,1074780
2019-05-22,664189
2019-05-23,475041
2019-05-24,762128
2019-05-25,568786
2019-05-26,733486
2019-05-27,1127432
2019-05-28,464173
2019-05-29,340640
2019-05-30,594920
2019-05-31,779053
2019-06-01,669540
2019-06-02,998541
2019-06-03,1263352
2019-06-04,1103672
2019-06-05,774381
2019-06-06,440901
2019-06-07,550112
2019-06-08,760834
2019-06-09,1335937
2019-06-10,656083
2019-06-11,867785
2019-06-12,849347
2019-06-13,609638
2019-06-14,1028686
2019-06-15,1117057
2019-06-16,564463
2019-06-17,1129548
2019-06-18,693868
2019-06-19,915130
2019-06-20,629431
2019-06-21,711212
2019-06-22,1524880
2019-06-23,777632
2019-06-24,524381
2019-06-25,1600219
2019-06-26,1012133
2019-06-27,1198038
2019-06-28,667932
2019-06-29,564568
2019-06-30,439321
2019-07-01,473886
2019-07-02,917413
2019-07-03,839964
2019-07-04,930814
2019-07-05,368549
2019-07-06,1273933
2019-07-07,758529
2019-07-08,360777
2019-07-09,612748
2019-07-10,746934
2019-07-11,733787
2019-07-12,1025610
2019-07-13,1017815
2019-07-14,760394
2019-07-15,1158583
2019-07-16,434376
2019-07-17,484035
2019-07-18,770167
2019-07-19,1356022
2019-07-20,532485
2019-07-21,626353
2019-07-22,483192
2019-07-23,1069600
2019-07-24,638881
2019-07-25,593115
2019-07-26,580417
2019-07-27,377302
2019-07-28,1238737
2019-07-29,831134
2019-07-30,467495
2019-07-31,1059703
2019-08-01,783473
2019-08-02,951354
2019-08-03,414477
2019-08-04,702208
2019-08-05,875355
2019-08-06,1311451
2019-08-07,488624
2019-08-08,1036850
2019-08-09,608625
2019-08-10,486503
2019-08-11,340755
2019-08-12,1554177
2019-08-13,743058
