date,value
2019-01-01,230878
2019-01-02,466810
2019-01-03,531157
2019-01-04,539452
2019-01-05,373718
2019-01-06,399212
2019-01-07,574969
2019-01-08,423957
2019-01-09,408344
2019-01-10,94024
2019-01-11,380309
2019-01-12,633281
2019-01-13,712709
2019-01-14,463890
2019-01-15,633169
2019-01-16,137210
2019-01-17,373998
2019-01-18,314271
2019-01-19,439924
2019-01-20,593817
2019-01-21,624280
2019-01-22,501658
2019-01-23,807558
2019-01-24,864257
2019-01-25,422764
2019-01-26,755883
2019-01-27,812133
2019-01-28,403007
2019-01-29,448493
2019-01-30,299425
2019-01-31,609192
2019-02-01,466654
2019-02-02,756756
2019-02-03,705688
2019-02-04,399855
2019-02-05,531119
2019-02-06,598855
2019-02-07,532444
2019-02-08,384958
2019-02-09,548360
2019-02-10,515262
2019-02-11,223514
2019-02-12,564632
2019-02-13,591916
2019-02-14,315612
2019-02-15,826552
2019-02-16,661585
2019-02-17,667271
2019-02-18,576153
2019-02-19,584868
2019-02-20,86277
2019-02-21,248737
2019-02-22,1067564
2019-02-23,415123
2019-02-24,332688
2019-02-25,730991
2019-02-26,498186
2019-02-27,517582
2019-02-28,533402
2019-03-01,444742
2019-03-02,508476
2019-03-03,384936
2019-03-04,395945
2019-03-05,745883
2019-03-06,430923
2019-03-07,335903
2019-03-08,454470
2019-03-09,684383
2019-03-10,525785
2019-03-11,274540
2019-03-12,528182
2019-03-13,162293
2019-03-14,877203
2019-03-15,741640
2019-03-16,480150
2019-03-17,484462
2019-03-18,711261
2019-03-19,740028
2019-03-20,435969
2019-03-21,646708
2019-03-22,542204
2019-03-23,561107
2019-03-24,362671
2019-03-25,649257
2019-03-26,356138
2019-03-27,410421
2019-03-28,393023
2019-03-29,571330
2019-03-30,268029
2019-03-31,737375
2019-04-01,402485
2019-04-02,681091
2019-04-03,392885
2019-04-04,296186
2019-04-05,678374
2019-04-06,227560
2019-04-07,362611
2019-04-08,351245
2019-04-09,554642
2019-04-10,327860
2019-04-11,789898
2019-04-12,527949
2019-04-13,419030
2019-04-14,323952
2019-04-15,427429
2019-04-16,343936
2019-04-17,622668
2019-04-18,675820
2019-04-19,414315
2019-04-20,255952
2019-04-21,111547
2019-04-22,394618
2019-04-23,312523
2019-04-24,367441
2019-04-25,607667
2019-04-26,356640
2019-04-27,492353
2019-04-28,349154
2019-04-29,500030
2019-04-30,165543
2019-05-01,17945
2019-05-02,879807
2019-05-03,555707
2019-05-04,389731
2019-05-05,332442
2019-05-06,457033
2019-05-07,326290
2019-05-08,464140
2019-05-09,321078
2019-05-10,331478
2019-05-11,600768
2019-05-12,348007
2019-05-13,402348
2019-05-14,647309
2019-05-15,340290
2019-05-16,510316
2019-05-17,402464
2019-05-18,862264
2019-05-19,446376
2019-05-20,381276
2019-05-21,515116
2019-05-22,395617
2019-05-23,543633
2019-05-24,795114
2019-05-25,451916
2019-05-26,810356
2019-05-27,308490
2019-05-28,138884
2019-05-29,587922
2019-05-30,734571
2019-05-31,486545
2019-06-01,509795
2019-06-02,549130
2019-06-03,574375
2019-06-04,654212
2019-06-05,285408
2019-06-06,810456
2019-06-07,460127
2019-06-08,356168
2019-06-09,560856
