date,value
2019-01-01,97
2019-01-02,121
2019-01-03,62
2019-01-04,69
2019-01-05,105
2019-01-06,96
2019-01-07,91
2019-01-08,100
2019-01-09,104
2019-01-10,53
2019-01-11,82
2019-01-12,112
2019-01-13,101
2019-01-14,95
2019-01-15,102
2019-01-16,91
2019-01-17,117
2019-01-18,112
2019-01-19,105
2019-01-20,105
2019-01-21,119
2019-01-22,120
2019-01-23,111
2019-01-24,121
2019-01-25,111
2019-01-26,84
2019-01-27,105
2019-01-28,107
2019-01-29,104
2019-01-30,104
2019-01-31,101
2019-02-01,105
2019-02-02,114
2019-02-03,97
2019-02-04,112
2019-02-05,107
2019-02-06,100
2019-02-07,82
2019-02-08,85
2019-02-09,114
2019-02-10,121
2019-02-11,117
2019-02-12,104
2019-02-13,86
2019-02-14,90
2019-02-15,93
2019-02-16,82
2019-02-17,109
2019-02-18,128
2019-02-19,65
2019-02-20,23
2019-02-21,80
2019-02-22,135
2019-02-23,92
2019-02-24,70
2019-02-25,120
2019-02-26,142
2019-02-27,118
2019-02-28,118
2019-03-01,119
2019-03-02,103
2019-03-03,116
2019-03-04,93
2019-03-05,127
2019-03-06,111
2019-03-07,95
2019-03-08,114
2019-03-09,100
2019-03-10,119
2019-03-11,88
2019-03-12,93
2019-03-13,70
2019-03-14,121
2019-03-15,108
2019-03-16,115
2019-03-17,115
2019-03-18,120
2019-03-19,108
2019-03-20,105
2019-03-21,121
2019-03-22,116
2019-03-23,111
2019-03-24,120
2019-03-25,115
2019-03-26,105
2019-03-27,112
2019-03-28,114
2019-03-29,95
2019-03-30,74
2019-03-31,106
2019-04-01,153
2019-04-02,101
2019-04-03,114
2019-04-04,98
2019-04-05,82
2019-04-06,132
2019-04-07,117
2019-04-08,102
2019-04-09,86
2019-04-10,100
2019-04-11,104
2019-04-12,109
2019-04-13,108
2019-04-14,112
2019-04-15,90
2019-04-16,97
2019-04-17,92
2019-04-18,105
2019-04-19,107
2019-04-20,83
2019-04-21,76
2019-04-22,107
2019-04-23,86
2019-04-24,96
2019-04-25,110
2019-04-26,99
2019-04-27,115
2019-04-28,111
2019-04-29,115
2019-04-30,22
2019-05-01,60
2019-05-02,100
2019-05-03,99
2019-05-04,81
2019-05-05,114
2019-05-06,102
2019-05-07,85
2019-05-08,93
2019-05-09,85
2019-05-10,94
2019-05-11,86
2019-05-12,94
2019-05-13,110
2019-05-14,109
2019-05-15,79
2019-05-16,100
2019-05-17,130
2019-05-18,132
2019-05-19,127
2019-05-20,107
2019-05-21,103
2019-05-22,104
2019-05-23,110
2019-05-24,103
2019-05-25,110
2019-05-26,103
2019-05-27,96
2019-05-28,91
2019-05-29,103
2019-05-30,100
2019-05-31,97
2019-06-01,112
2019-06-02,122
