date,value
2019-01-01,438014
2019-01-02,553937
2019-01-03,1127282
2019-01-04,515879
2019-01-05,2008200
2019-01-06,370394
2019-01-07,390634
2019-01-08,444325
2019-01-09,1423851
2019-01-10,483394
2019-01-11,1651975
2019-01-12,347545
2019-01-13,1527470
2019-01-14,1228634
2019-01-15,677794
2019-01-16,868942
2019-01-17,1016413
2019-01-18,1014995
2019-01-19,733700
2019-01-20,752134
2019-01-21,615957
2019-01-22,1666778
2019-01-23,530383
2019-01-24,769021
2019-01-25,516535
2019-01-26,648508
2019-01-27,1804652
2019-01-28,1038470
2019-01-29,477559
2019-01-30,1115177
2019-01-31,626876
2019-02-01,336931
2019-02-02,875863
2019-02-03,352986
2019-02-04,1038709
2019-02-05,522308
2019-02-06,446335
2019-02-07,1313481
2019-02-08,1106959
2019-02-09,1260144
2019-02-10,1160155
2019-02-11,797075
2019-02-12,1437985
2019-02-13,800185
2019-02-14,866533
2019-02-15,812002
2019-02-16,1291140
2019-02-17,547901
2019-02-18,774799
2019-02-19,475129
2019-02-20,1308802
2019-02-21,233599
2019-02-22,1606073
2019-02-23,894002
2019-02-24,1728134
2019-02-25,177815
2019-02-26,2429700
2019-02-27,321764
2019-02-28,969991
2019-03-01,808973
2019-03-02,477492
2019-03-03,1150128
2019-03-04,634073
2019-03-05,778978
2019-03-06,779765
2019-03-07,983112
2019-03-08,893242
2019-03-09,516641
2019-03-10,1304967
2019-03-11,880347
2019-03-12,1110966
2019-03-13,1677924
2019-03-14,220660
2019-03-15,515031
2019-03-16,1336567
2019-03-17,608780
2019-03-18,1844902
2019-03-19,1119501
2019-03-20,421439
2019-03-21,1421856
2019-03-22,1080650
2019-03-23,992028
2019-03-24,1495915
2019-03-25,1940360
2019-03-26,929395
2019-03-27,1325372
2019-03-28,911626
2019-03-29,1354787
2019-03-30,657309
2019-03-31,1156964
2019-04-01,621479
2019-04-02,1865241
2019-04-03,951847
2019-04-04,1205825
2019-04-05,1086133
2019-04-06,779118
2019-04-07,806273
2019-04-08,366807
2019-04-09,1594274
2019-04-10,639383
2019-04-11,2710435
2019-04-12,1148265
2019-04-13,1361467
2019-04-14,1224765
2019-04-15,801456
2019-04-16,533934
2019-04-17,446204
2019-04-18,426040
2019-04-19,1326211
2019-04-20,751706
2019-04-21,1013286
2019-04-22,947563
2019-04-23,850175
2019-04-24,362733
2019-04-25,1125280
2019-04-26,1886101
2019-04-27,683053
2019-04-28,424017
2019-04-29,1057561
2019-04-30,685952
2019-05-01,431741
2019-05-02,913389
2019-05-03,733254
2019-05-04,897349
2019-05-05,451442
2019-05-06,675635
2019-05-07,1373148
2019-05-08,952381
2019-05-09,1264124
2019-05-10,511944
2019-05-11,1176652
2019-05-12,120747
2019-05-13,987347
2019-05-14,1038513
2019-05-15,1586323
2019-05-16,1244902
2019-05-17,1013590
2019-05-18,1418407
2019-05-19,1703304
2019-05-20,848561
2019-05-21,803870
2019-05-22,602126
2019-05-23,828318
2019-05-24,196738
2019-05-25,655707
2019-05-26,1381372
2019-05-27,360311
2019-05-28,676540
2019-05-29,1114200
2019-05-30,1038126
2019-05-31,1556019
2019-06-01,812527
2019-06-02,1451192
2019-06-03,436725
2019-06-04,1097036
2019-06-05,482464
2019-06-06,929766
2019-06-07,897055
2019-06-08,959243
2019-06-09,487687
2019-06-10,1625738
2019-06-11,580561
2019-06-12,460485
2019-06-13,986957
2019-06-14,1034598
2019-06-15,1035387
2019-06-16,394072
2019-06-17,2285850
2019-06-18,752478
2019-06-19,598425
2019-06-20,1333112
2019-06-21,1269182
2019-06-22,270147
2019-06-23,2115481
2019-06-24,1826857
2019-06-25,821108
2019-06-26,2102898
2019-06-27,195887
2019-06-28,1023229
2019-06-29,1441323
2019-06-30,1187379
2019-07-01,790021
2019-07-02,812385
2019-07-03,927815
2019-07-04,628126
2019-07-05,450016
2019-07-06,832435
2019-07-07,582371
2019-07-08,1474699
2019-07-09,726698
2019-07-10,1015224
2019-07-11,1313597
2019-07-12,705421
2019-07-13,527184
2019-07-14,1514475
2019-07-15,1141934
2019-07-16,1528364
2019-07-17,1031393
