date,value
2019-01-01,2390755
2019-01-02,1022523
2019-01-03,2841667
2019-01-04,1207506
2019-01-05,1830227
2019-01-06,2219169
2019-01-07,1940965
2019-01-08,515105
2019-01-09,1805444
2019-01-10,789993
2019-01-11,1008345
2019-01-12,481324
2019-01-13,1557452
2019-01-14,2088547
2019-01-15,972941
2019-01-16,1922947
2019-01-17,1607029
2019-01-18,2116818
2019-01-19,1395862
2019-01-20,1387500
2019-01-21,312553
2019-01-22,2228951
2019-01-23,2096046
2019-01-24,1942712
2019-01-25,1444862
2019-01-26,1796329
2019-01-27,2352926
2019-01-28,846159
2019-01-29,2288161
2019-01-30,1181678
2019-01-31,1522445
2019-02-01,1249494
2019-02-02,2139350
2019-02-03,1686854
2019-02-04,1010318
2019-02-05,840247
2019-02-06,846722
2019-02-07,1604455
2019-02-08,1138264
2019-02-09,1597088
2019-02-10,1584091
2019-02-11,1160991
2019-02-12,418259
2019-02-13,909455
2019-02-14,971138
2019-02-15,1826351
2019-02-16,1490346
2019-02-17,1925960
2019-02-18,1368765
2019-02-19,788852
2019-02-20,760090
2019-02-21,711691
2019-02-22,1443209
2019-02-23,2383118
2019-02-24,1466085
2019-02-25,1548761
2019-02-26,578299
2019-02-27,910995
2019-02-28,1417121
2019-03-01,2161005
2019-03-02,1013580
2019-03-03,1059240
2019-03-04,631764
2019-03-05,1720874
2019-03-06,1360314
2019-03-07,1370719
2019-03-08,1740780
2019-03-09,2352261
2019-03-10,698929
2019-03-11,509330
2019-03-12,2969275
2019-03-13,1964304
2019-03-14,1142726
2019-03-15,2217509
2019-03-16,1322216
2019-03-17,886031
2019-03-18,1295476
2019-03-19,1278044
2019-03-20,1126521
2019-03-21,1583323
2019-03-22,1368091
2019-03-23,2250838
2019-03-24,641687
2019-03-25,581800
2019-03-26,949423
2019-03-27,761454
2019-03-28,2942718
2019-03-29,2632187
2019-03-30,3111288
2019-03-31,2266301
2019-04-01,1071342
2019-04-02,1162177
2019-04-03,1699083
2019-04-04,624019
2019-04-05,1982435
2019-04-06,1462514
2019-04-07,1767947
2019-04-08,968474
2019-04-09,2272056
2019-04-10,1125214
2019-04-11,2288556
2019-04-12,1506460
2019-04-13,1172514
2019-04-14,1015514
2019-04-15,1549587
2019-04-16,1716065
2019-04-17,3170336
2019-04-18,2637718
2019-04-19,2971950
2019-04-20,2275844
2019-04-21,1700031
2019-04-22,3027693
2019-04-23,2227717
2019-04-24,1116454
2019-04-25,1104716
2019-04-26,1431885
2019-04-27,2859488
2019-04-28,3222397
2019-04-29,2317026
2019-04-30,1849085
2019-05-01,1743576
2019-05-02,2372706
2019-05-03,2458929
2019-05-04,3518777
2019-05-05,1599252
2019-05-06,2150731
2019-05-07,1962989
2019-05-08,2724319
2019-05-09,2147060
2019-05-10,1293036
2019-05-11,1988602
2019-05-12,2567430
2019-05-13,2383458
2019-05-14,1697004
2019-05-15,2828230
2019-05-16,2918123
2019-05-17,2419184
2019-05-18,2489789
2019-05-19,2645047
2019-05-20,2342200
2019-05-21,2793845
2019-05-22,1349228
2019-05-23,2121730
2019-05-24,1465014
2019-05-25,2939998
2019-05-26,2367234
2019-05-27,3161050
2019-05-28,1692234
2019-05-29,2039626
2019-05-30,2640169
2019-05-31,1649583
2019-06-01,1417288
2019-06-02,2272259
2019-06-03,4071825
2019-06-04,2381885
2019-06-05,1879902
2019-06-06,425477
2019-06-07,3407731
2019-06-08,2764728
2019-06-09,1192375
2019-06-10,3023499
2019-06-11,2655706
2019-06-12,2357276
2019-06-13,1862675
2019-06-14,2054181
2019-06-15,3203898
2019-06-16,4245394
2019-06-17,2192748
2019-06-18,2967846
2019-06-19,1231263
2019-06-20,1486181
2019-06-21,2648921
2019-06-22,1545248
2019-06-23,2521295
2019-06-24,2657916
2019-06-25,3645780
2019-06-26,3106980
2019-06-27,2053476
2019-06-28,2810390
2019-06-29,1812900
2019-06-30,3022622
2019-07-01,2697110
2019-07-02,1462444
2019-07-03,2946298
2019-07-04,3519533
2019-07-05,3891337
2019-07-06,1711922
2019-07-07,2093153
2019-07-08,1803162
2019-07-09,2037901
2019-07-10,2620994
2019-07-11,2072698
2019-07-12,3294508
2019-07-13,2809206
2019-07-14,1998625
2019-07-15,2102855
2019-07-16,2442434
2019-07-17,2165205
2019-07-18,1685186
2019-07-19,2065696
2019-07-20,2539643
2019-07-21,2176215
2019-07-22,2583562
2019-07-23,2649431
2019-07-24,2485801
2019-07-25,2267083
2019-07-26,2807478
2019-07-27,1280229
2019-07-28,1926540
2019-07-29,2320599
2019-07-30,1806784
2019-07-31,2949083
2019-08-01,1934992
2019-08-02,2109404
2019-08-03,2924440
2019-08-04,2600073
2019-08-05,1714567
2019-08-06,2540766
2019-08-07,2439662
2019-08-08,2696775
2019-08-09,2914046
2019-08-10,2865393
2019-08-11,2251066
2019-08-12,2037012
2019-08-13,2360768
2019-08-14,2218088
2019-08-15,2562268
2019-08-16,2253126
2019-08-17,2646207
2019-08-18,2675883
2019-08-19,2238762
2019-08-20,2271474
2019-08-21,2135314
2019-08-22,1898292
2019-08-23,2136123
2019-08-24,2698760
2019-08-25,3191174
2019-08-26,1857617
2019-08-27,2425568
2019-08-28,2634039
2019-08-29,2920533
2019-08-30,2060171
2019-08-31,2120342
2019-09-01,1858579
2019-09-02,2452522
2019-09-03,2669959
2019-09-04,3080643
2019-09-05,2550205
2019-09-06,2818898
2019-09-07,1947167
2019-09-08,1876328
2019-09-09,2535365
2019-09-10,2863745
2019-09-11,1248453
2019-09-12,2744257
2019-09-13,2572528
2019-09-14,3252541
2019-09-15,1764877
2019-09-16,2034286
2019-09-17,1325944
2019-09-18,3003317
2019-09-19,2745102
2019-09-20,1513001
2019-09-21,3165880
2019-09-22,1805822
2019-09-23,1995314
2019-09-24,1627137
2019-09-25,1621049
2019-09-26,2355048
2019-09-27,2592967
2019-09-28,2101482
2019-09-29,2430447
2019-09-30,1976483
2019-10-01,1598125
2019-10-02,3050531
2019-10-03,2143308
2019-10-04,2106280
2019-10-05,2387086
2019-10-06,1568176
2019-10-07,1469025
2019-10-08,1934676
2019-10-09,2620992
2019-10-10,2347589
2019-10-11,2862491
2019-10-12,1800615
2019-10-13,2160944
2019-10-14,2403371
2019-10-15,2340688
2019-10-16,3257073
2019-10-17,2780829
2019-10-18,2865887
2019-10-19,2527504
2019-10-20,1961459
2019-10-21,2452771
2019-10-22,1171899
2019-10-23,2521811
2019-10-24,2882488
2019-10-25,1951455
2019-10-26,2906968
2019-10-27,2315365
2019-10-28,2724079
2019-10-29,2374294
2019-10-30,1994362
2019-10-31,1797824
2019-11-01,2356759
2019-11-02,458584
2019-11-03,1935237
2019-11-04,2525665
2019-11-05,2282766
2019-11-06,2052174
2019-11-07,1990345
2019-11-08,2412803
2019-11-09,2063653
2019-11-10,1757844
