date,value
2019-01-01,3712932
2019-01-02,3876315
2019-01-03,2612893
2019-01-04,3996192
2019-01-05,4429628
2019-01-06,2544791
2019-01-07,4026624
2019-01-08,2206425
2019-01-09,2402775
2019-01-10,2407241
2019-01-11,2021483
2019-01-12,3107731
2019-01-13,2789383
2019-01-14,3335314
2019-01-15,2145980
2019-01-16,3742110
2019-01-17,4103191
2019-01-18,2738831
2019-01-19,1702251
2019-01-20,2455409
2019-01-21,1842571
2019-01-22,3137175
2019-01-23,2674682
2019-01-24,2921991
2019-01-25,3150693
2019-01-26,2800907
2019-01-27,3458320
2019-01-28,2924408
2019-01-29,3097848
2019-01-30,2479560
2019-01-31,3541762
2019-02-01,3889630
2019-02-02,2956455
2019-02-03,4120549
2019-02-04,3255233
2019-02-05,2873690
2019-02-06,2977509
2019-02-07,1710984
2019-02-08,3334250
2019-02-09,3591388
2019-02-10,3356288
2019-02-11,2459714
2019-02-12,3065919
2019-02-13,3444516
2019-02-14,2647637
2019-02-15,4223438
2019-02-16,1974667
2019-02-17,3913595
2019-02-18,3028944
2019-02-19,3743530
2019-02-20,3370127
2019-02-21,3437447
2019-02-22,2564652
2019-02-23,2701160
2019-02-24,1721648
2019-02-25,3269933
2019-02-26,3805660
2019-02-27,3029081
2019-02-28,3071055
2019-03-01,3460516
2019-03-02,2688733
2019-03-03,4377133
2019-03-04,2947453
2019-03-05,3579023
2019-03-06,2401352
2019-03-07,3370747
2019-03-08,2465007
2019-03-09,2440300
2019-03-10,2915189
2019-03-11,3075640
2019-03-12,3611816
2019-03-13,2336553
2019-03-14,2384749
2019-03-15,3228951
2019-03-16,3645043
2019-03-17,3162228
2019-03-18,2928454
2019-03-19,2663216
2019-03-20,3241903
2019-03-21,2759541
2019-03-22,3507854
2019-03-23,2874107
2019-03-24,4700070
2019-03-25,1739775
2019-03-26,2195153
2019-03-27,1851040
2019-03-28,3561036
2019-03-29,3072425
2019-03-30,3349581
2019-03-31,2783569
2019-04-01,3835341
2019-04-02,2991614
2019-04-03,2502253
2019-04-04,2456199
2019-04-05,2109199
2019-04-06,2106303
2019-04-07,3397854
2019-04-08,3395717
2019-04-09,2911533
2019-04-10,4509088
2019-04-11,2116596
2019-04-12,3307470
2019-04-13,3387812
2019-04-14,3761333
2019-04-15,3670430
2019-04-16,2192699
2019-04-17,2574679
2019-04-18,2377148
2019-04-19,2804803
2019-04-20,3348100
2019-04-21,3034629
2019-04-22,2777371
2019-04-23,3046915
2019-04-24,3495271
2019-04-25,3210590
2019-04-26,2593319
2019-04-27,3195667
2019-04-28,5128168
2019-04-29,2924170
2019-04-30,2553372
2019-05-01,3802174
2019-05-02,3296094
2019-05-03,3338975
2019-05-04,3104978
2019-05-05,2168973
2019-05-06,1768193
2019-05-07,3351924
2019-05-08,2555480
2019-05-09,2699221
2019-05-10,3245688
2019-05-11,1907353
2019-05-12,3311845
2019-05-13,2647211
2019-05-14,2419055
2019-05-15,3742143
2019-05-16,3513044
2019-05-17,2088852
2019-05-18,2785013
2019-05-19,2329959
2019-05-20,2056460
2019-05-21,2127523
2019-05-22,4419333
2019-05-23,3162704
2019-05-24,2707855
2019-05-25,3286804
2019-05-26,3170846
2019-05-27,2648697
2019-05-28,2109241
2019-05-29,4040497
2019-05-30,2845232
2019-05-31,2753793
2019-06-01,2405503
2019-06-02,3324338
2019-06-03,2577019
2019-06-04,2453021
2019-06-05,853952
2019-06-06,3710458
2019-06-07,2186035
2019-06-08,2245064
2019-06-09,3399022
2019-06-10,1289128
2019-06-11,2633554
2019-06-12,2427787
2019-06-13,2815715
2019-06-14,2418318
2019-06-15,3823094
2019-06-16,2592342
2019-06-17,1819797
2019-06-18,3416459
2019-06-19,2762638
2019-06-20,2323695
2019-06-21,2439926
2019-06-22,2456103
2019-06-23,1359930
2019-06-24,1708827
2019-06-25,4619715
2019-06-26,2031632
2019-06-27,2751460
2019-06-28,3214047
2019-06-29,3427911
2019-06-30,2183533
2019-07-01,2515933
2019-07-02,1226398
2019-07-03,2269771
2019-07-04,3087108
2019-07-05,3333708
2019-07-06,2114915
2019-07-07,3412949
2019-07-08,2756981
2019-07-09,2079707
2019-07-10,2331306
2019-07-11,3027124
2019-07-12,1527239
2019-07-13,3197096
2019-07-14,3173327
2019-07-15,3720519
2019-07-16,3226021
2019-07-17,1301566
2019-07-18,1949520
2019-07-19,2580200
2019-07-20,3316576
2019-07-21,3771019
2019-07-22,2913359
2019-07-23,2373506
2019-07-24,3217815
2019-07-25,2408954
2019-07-26,2746148
2019-07-27,3043379
2019-07-28,2614892
2019-07-29,3696549
2019-07-30,3440238
2019-07-31,3435525
2019-08-01,3794079
2019-08-02,2241192
2019-08-03,3252520
2019-08-04,2235843
2019-08-05,3278830
2019-08-06,1904151
2019-08-07,2091423
2019-08-08,1713519
2019-08-09,2190621
2019-08-10,3041171
2019-08-11,3119918
2019-08-12,3086552
2019-08-13,1908924
2019-08-14,1938470
2019-08-15,2822353
2019-08-16,3585681
2019-08-17,2091308
2019-08-18,3608098
2019-08-19,2767689
2019-08-20,3078507
2019-08-21,3278754
2019-08-22,2749877
2019-08-23,3334474
2019-08-24,2221542
2019-08-25,2565527
2019-08-26,2304316
2019-08-27,2877117
2019-08-28,2751149
2019-08-29,2658880
2019-08-30,3353641
2019-08-31,3513745
2019-09-01,2375760
2019-09-02,2340439
2019-09-03,2667105
2019-09-04,2901634
2019-09-05,1961752
2019-09-06,1697554
2019-09-07,2999121
2019-09-08,2610308
2019-09-09,2601315
2019-09-10,2798224
2019-09-11,3527776
2019-09-12,2515599
2019-09-13,2649099
2019-09-14,3593371
2019-09-15,2259993
2019-09-16,3323382
2019-09-17,2515404
2019-09-18,3086203
2019-09-19,1866843
2019-09-20,2869009
2019-09-21,3188959
2019-09-22,3502846
2019-09-23,2804588
2019-09-24,3374316
2019-09-25,3301151
2019-09-26,3045742
2019-09-27,1916210
2019-09-28,2088391
2019-09-29,2833777
2019-09-30,2984160
2019-10-01,4402926
2019-10-02,3342187
2019-10-03,2248424
2019-10-04,2367858
2019-10-05,3883850
2019-10-06,1927147
2019-10-07,3277460
2019-10-08,2448194
2019-10-09,4463156
2019-10-10,2377126
2019-10-11,1911636
2019-10-12,1997241
2019-10-13,4789286
2019-10-14,3573242
2019-10-15,2121601
2019-10-16,2882869
2019-10-17,3299004
2019-10-18,2799926
2019-10-19,2997582
2019-10-20,3995052
2019-10-21,2219788
2019-10-22,3395247
2019-10-23,3318292
2019-10-24,4192589
2019-10-25,2308178
2019-10-26,4650910
2019-10-27,2596570
2019-10-28,2701707
2019-10-29,2909117
2019-10-30,2081323
2019-10-31,3562606
2019-11-01,3328410
2019-11-02,1609543
2019-11-03,2126982
2019-11-04,2405313
2019-11-05,2816586
2019-11-06,3653778
2019-11-07,2513657
2019-11-08,3034027
2019-11-09,3121626
2019-11-10,2687772
2019-11-11,3726333
2019-11-12,2850894
2019-11-13,2366272
2019-11-14,2159899
2019-11-15,4071225
2019-11-16,3795121
2019-11-17,3319566
2019-11-18,2651439
2019-11-19,3465755
2019-11-20,3455028
2019-11-21,4001788
2019-11-22,2913697
2019-11-23,2302321
2019-11-24,3298134
2019-11-25,2618729
2019-11-26,2092539
2019-11-27,3052376
2019-11-28,2119066
2019-11-29,3083804
2019-11-30,2963055
2019-12-01,1935708
2019-12-02,2382279
2019-12-03,3566673
2019-12-04,1666640
2019-12-05,2016818
2019-12-06,3179567
2019-12-07,3120140
2019-12-08,4056644
2019-12-09,4170027
2019-12-10,2219119
2019-12-11,1705143
2019-12-12,3182159
2019-12-13,2985089
2019-12-14,4268445
2019-12-15,3447665
2019-12-16,1404674
2019-12-17,2672631
2019-12-18,3367332
2019-12-19,3667260
2019-12-20,2113807
2019-12-21,3212875
2019-12-22,2582804
2019-12-23,2600103
2019-12-24,3179630
2019-12-25,1932342
2019-12-26,2661244
2019-12-27,1895036
2019-12-28,4460185
2019-12-29,2562293
2019-12-30,2713033
2019-12-31,3424129
2020-01-01,3726236
2020-01-02,2988415
2020-01-03,3526182
2020-01-04,2214216
2020-01-05,3511007
2020-01-06,3551276
2020-01-07,1800715
2020-01-08,3136299
2020-01-09,3126929
2020-01-10,2254589
2020-01-11,2972947
2020-01-12,3807902
2020-01-13,2448098
2020-01-14,3128773
2020-01-15,3310535
2020-01-16,2639988
2020-01-17,2172921
2020-01-18,2660534
2020-01-19,2410909
2020-01-20,2968207
2020-01-21,3168919
2020-01-22,1986112
2020-01-23,3262778
2020-01-24,1328402
2020-01-25,2875982
2020-01-26,2086285
2020-01-27,3114119
2020-01-28,4505712
2020-01-29,3101976
2020-01-30,3672088
2020-01-31,3934288
2020-02-01,3346475
2020-02-02,2519029
2020-02-03,2667458
2020-02-04,4183236
2020-02-05,2675527
2020-02-06,3219831
2020-02-07,2811625
2020-02-08,2470699
2020-02-09,4621479
2020-02-10,3015284
2020-02-11,2554446
2020-02-12,2617763
2020-02-13,2985413
2020-02-14,3238348
2020-02-15,2106130
2020-02-16,2983206
2020-02-17,5076078
2020-02-18,3121914
2020-02-19,2603045
2020-02-20,2912823
2020-02-21,2556811
2020-02-22,3283365
2020-02-23,2728038
2020-02-24,3398766
2020-02-25,2818682
2020-02-26,2330175
2020-02-27,2976169
2020-02-28,2241228
2020-02-29,1514726
