date,value
2019-01-01,201
2019-01-02,159
2019-01-03,154
2019-01-04,153
2019-01-05,191
2019-01-06,146
2019-01-07,175
2019-01-08,176
2019-01-09,155
2019-01-10,183
2019-01-11,153
2019-01-12,185
2019-01-13,158
2019-01-14,181
2019-01-15,165
2019-01-16,171
2019-01-17,179
2019-01-18,169
2019-01-19,166
2019-01-20,193
2019-01-21,174
2019-01-22,174
2019-01-23,173
2019-01-24,156
2019-01-25,180
2019-01-26,156
2019-01-27,177
2019-01-28,142
2019-01-29,186
2019-01-30,191
2019-01-31,173
2019-02-01,174
2019-02-02,156
2019-02-03,155
2019-02-04,178
2019-02-05,187
2019-02-06,172
2019-02-07,162
2019-02-08,169
2019-02-09,195
2019-02-10,193
2019-02-11,164
2019-02-12,185
2019-02-13,182
2019-02-14,170
2019-02-15,187
2019-02-16,170
2019-02-17,181
2019-02-18,163
2019-02-19,177
2019-02-20,195
2019-02-21,181
2019-02-22,150
2019-02-23,178
2019-02-24,155
2019-02-25,152
2019-02-26,179
2019-02-27,173
2019-02-28,182
2019-03-01,160
2019-03-02,180
2019-03-03,170
2019-03-04,178
2019-03-05,181
2019-03-06,166
2019-03-07,165
2019-03-08,158
2019-03-09,167
2019-03-10,165
2019-03-11,191
2019-03-12,164
2019-03-13,157
2019-03-14,158
2019-03-15,172
2019-03-16,152
2019-03-17,169
2019-03-18,168
2019-03-19,170
2019-03-20,160
2019-03-21,157
2019-03-22,148
2019-03-23,174
2019-03-24,178
2019-03-25,161
2019-03-26,151
2019-03-27,144
2019-03-28,202
2019-03-29,185
2019-03-30,167
2019-03-31,153
2019-04-01,192
2019-04-02,171
2019-04-03,165
2019-04-04,168
2019-04-05,164
2019-04-06,175
2019-04-07,184
2019-04-08,172
2019-04-09,178
2019-04-10,196
2019-04-11,176
2019-04-12,179
2019-04-13,139
2019-04-14,204
2019-04-15,186
2019-04-16,189
2019-04-17,162
2019-04-18,157
2019-04-19,138
2019-04-20,177
2019-04-21,187
