date,value
2019-01-01,264719
2019-01-02,299878
2019-01-03,350677
2019-01-04,86989
2019-01-05,238764
2019-01-06,427133
2019-01-07,353121
2019-01-08,319255
2019-01-09,103925
2019-01-10,184309
2019-01-11,344579
2019-01-12,164036
2019-01-13,240965
2019-01-14,332318
2019-01-15,317337
2019-01-16,613835
2019-01-17,399476
2019-01-18,145681
2019-01-19,274305
2019-01-20,407893
2019-01-21,375462
2019-01-22,182672
2019-01-23,358088
2019-01-24,225284
2019-01-25,279295
2019-01-26,270478
2019-01-27,375427
2019-01-28,195701
2019-01-29,331603
2019-01-30,379147
2019-01-31,315997
2019-02-01,347977
2019-02-02,309293
2019-02-03,454248
2019-02-04,327176
2019-02-05,207598
2019-02-06,323300
2019-02-07,362373
2019-02-08,288354
2019-02-09,307947
2019-02-10,239482
2019-02-11,49930
2019-02-12,205626
2019-02-13,148314
2019-02-14,158372
2019-02-15,192010
2019-02-16,187660
2019-02-17,245392
2019-02-18,399411
2019-02-19,406804
2019-02-20,144521
2019-02-21,214624
2019-02-22,331159
2019-02-23,333263
2019-02-24,351039
2019-02-25,225518
2019-02-26,381317
2019-02-27,141698
2019-02-28,76117
2019-03-01,258802
2019-03-02,168584
2019-03-03,395967
2019-03-04,405979
2019-03-05,415492
2019-03-06,173609
2019-03-07,352781
2019-03-08,348040
2019-03-09,683882
2019-03-10,188748
2019-03-11,357916
2019-03-12,155535
2019-03-13,369264
2019-03-14,284083
2019-03-15,176857
2019-03-16,246096
2019-03-17,370320
2019-03-18,137393
2019-03-19,287892
2019-03-20,148696
2019-03-21,149697
2019-03-22,312309
2019-03-23,243483
2019-03-24,220320
2019-03-25,129102
2019-03-26,186463
2019-03-27,131415
2019-03-28,128838
2019-03-29,310264
2019-03-30,211546
2019-03-31,289598
2019-04-01,256983
2019-04-02,370391
2019-04-03,362038
2019-04-04,589855
2019-04-05,220928
2019-04-06,311408
2019-04-07,236574
2019-04-08,113590
2019-04-09,221871
2019-04-10,163176
2019-04-11,93508
2019-04-12,243807
2019-04-13,229882
2019-04-14,193466
2019-04-15,327703
2019-04-16,293719
2019-04-17,217714
2019-04-18,518561
2019-04-19,228085
2019-04-20,158085
2019-04-21,286486
2019-04-22,578569
2019-04-23,574334
2019-04-24,168733
2019-04-25,156753
2019-04-26,276831
2019-04-27,267933
2019-04-28,252523
2019-04-29,222807
2019-04-30,258064
2019-05-01,372125
2019-05-02,389190
2019-05-03,166916
2019-05-04,362773
2019-05-05,225978
2019-05-06,423419
2019-05-07,233885
2019-05-08,674799
2019-05-09,364503
2019-05-10,149185
2019-05-11,474003
2019-05-12,257483
2019-05-13,394757
2019-05-14,319959
2019-05-15,218033
2019-05-16,132067
2019-05-17,542563
2019-05-18,121466
2019-05-19,125925
2019-05-20,445577
2019-05-21,420287
2019-05-22,655729
2019-05-23,168865
2019-05-24,304463
2019-05-25,452325
2019-05-26,233970
2019-05-27,438702
2019-05-28,184882
2019-05-29,104052
2019-05-30,512795
2019-05-31,164163
2019-06-01,533549
2019-06-02,329411
2019-06-03,462750
2019-06-04,458047
2019-06-05,198506
2019-06-06,542852
2019-06-07,392320
2019-06-08,359800
2019-06-09,181184
2019-06-10,235605
2019-06-11,173522
2019-06-12,284781
2019-06-13,149444
2019-06-14,359725
2019-06-15,165802
2019-06-16,382791
2019-06-17,143960
2019-06-18,369257
2019-06-19,205666
2019-06-20,452512
2019-06-21,381401
2019-06-22,300716
2019-06-23,335669
2019-06-24,260604
2019-06-25,142314
2019-06-26,362013
2019-06-27,425031
2019-06-28,285825
2019-06-29,306228
2019-06-30,178885
2019-07-01,239510
2019-07-02,213091
2019-07-03,330871
2019-07-04,477411
2019-07-05,289560
2019-07-06,483862
2019-07-07,142796
2019-07-08,304567
2019-07-09,275732
2019-07-10,280955
2019-07-11,306696
2019-07-12,267193
2019-07-13,127254
2019-07-14,249156
2019-07-15,420987
2019-07-16,190052
2019-07-17,322973
2019-07-18,147013
2019-07-19,180729
2019-07-20,366974
2019-07-21,395636
2019-07-22,332056
2019-07-23,503854
2019-07-24,531127
2019-07-25,195633
2019-07-26,81295
2019-07-27,338658
2019-07-28,187020
2019-07-29,296297
2019-07-30,107136
2019-07-31,380681
2019-08-01,156111
2019-08-02,350981
2019-08-03,369498
2019-08-04,172093
2019-08-05,328047
2019-08-06,400136
2019-08-07,365652
2019-08-08,235173
2019-08-09,268099
2019-08-10,349516
2019-08-11,207181
2019-08-12,356725
2019-08-13,325671
2019-08-14,358530
2019-08-15,524597
2019-08-16,276052
2019-08-17,259175
2019-08-18,198984
2019-08-19,813691
2019-08-20,338837
2019-08-21,214003
2019-08-22,313307
2019-08-23,93429
2019-08-24,360632
2019-08-25,338562
2019-08-26,855369
2019-08-27,156990
2019-08-28,166082
2019-08-29,311201
2019-08-30,133968
2019-08-31,287902
2019-09-01,235846
2019-09-02,358185
2019-09-03,411513
2019-09-04,293828
2019-09-05,319892
2019-09-06,78727
2019-09-07,172728
2019-09-08,260291
2019-09-09,340154
2019-09-10,355539
2019-09-11,296107
2019-09-12,402292
2019-09-13,288084
2019-09-14,404196
2019-09-15,165220
2019-09-16,376008
2019-09-17,136901
2019-09-18,256886
2019-09-19,106904
2019-09-20,268400
2019-09-21,185917
2019-09-22,217586
2019-09-23,188080
2019-09-24,282996
2019-09-25,233276
2019-09-26,137240
2019-09-27,136743
2019-09-28,175920
2019-09-29,164426
2019-09-30,394468
2019-10-01,390855
2019-10-02,242952
2019-10-03,626754
2019-10-04,362381
2019-10-05,434278
2019-10-06,578478
2019-10-07,457906
2019-10-08,282388
2019-10-09,316048
2019-10-10,486671
2019-10-11,451073
2019-10-12,334457
2019-10-13,178857
2019-10-14,524793
2019-10-15,403658
2019-10-16,212838
2019-10-17,394330
2019-10-18,334578
2019-10-19,386244
2019-10-20,326022
2019-10-21,333247
2019-10-22,305913
2019-10-23,436220
2019-10-24,127505
2019-10-25,302099
2019-10-26,370198
2019-10-27,215165
2019-10-28,347796
2019-10-29,248036
2019-10-30,348504
2019-10-31,353694
2019-11-01,111156
2019-11-02,360009
2019-11-03,761634
2019-11-04,373213
2019-11-05,736384
2019-11-06,301511
2019-11-07,320264
2019-11-08,217074
2019-11-09,517698
2019-11-10,390137
2019-11-11,253810
2019-11-12,389104
2019-11-13,484432
2019-11-14,411064
2019-11-15,70593
2019-11-16,366992
2019-11-17,646187
2019-11-18,359869
2019-11-19,777772
2019-11-20,494672
2019-11-21,243347
2019-11-22,384951
2019-11-23,310986
2019-11-24,337217
2019-11-25,249080
2019-11-26,281883
2019-11-27,307728
2019-11-28,293869
2019-11-29,199436
2019-11-30,250990
2019-12-01,348327
2019-12-02,352632
2019-12-03,484453
2019-12-04,208532
2019-12-05,406083
2019-12-06,185674
2019-12-07,307061
2019-12-08,329624
2019-12-09,609280
2019-12-10,429600
2019-12-11,217485
2019-12-12,195173
2019-12-13,178375
2019-12-14,408254
2019-12-15,434413
2019-12-16,411246
2019-12-17,348546
2019-12-18,355158
2019-12-19,265112
2019-12-20,321471
2019-12-21,449360
2019-12-22,507932
2019-12-23,465412
2019-12-24,223220
2019-12-25,366281
2019-12-26,342397
2019-12-27,286628
2019-12-28,305356
2019-12-29,294493
2019-12-30,277492
2019-12-31,461569
2020-01-01,442514
2020-01-02,437827
2020-01-03,201729
2020-01-04,295164
2020-01-05,307334
2020-01-06,241651
2020-01-07,424181
2020-01-08,248245
2020-01-09,289793
2020-01-10,264105
2020-01-11,227711
2020-01-12,291459
2020-01-13,173439
2020-01-14,353476
2020-01-15,325439
2020-01-16,291597
2020-01-17,335755
2020-01-18,397408
2020-01-19,271020
2020-01-20,430515
2020-01-21,202905
2020-01-22,294691
2020-01-23,295883
2020-01-24,314251
2020-01-25,518338
2020-01-26,167346
2020-01-27,77785
2020-01-28,180309
2020-01-29,157000
2020-01-30,215818
2020-01-31,228511
2020-02-01,328701
2020-02-02,519708
2020-02-03,357253
2020-02-04,468712
2020-02-05,362846
2020-02-06,246418
2020-02-07,555355
2020-02-08,313732
2020-02-09,151818
2020-02-10,248627
2020-02-11,401939
2020-02-12,506230
