date,value
2019-01-01,1279775
2019-01-02,518306
2019-01-03,868092
2019-01-04,836954
2019-01-05,628481
2019-01-06,314955
2019-01-07,894303
2019-01-08,868355
2019-01-09,824016
2019-01-10,961390
2019-01-11,930693
2019-01-12,859363
2019-01-13,947238
2019-01-14,390131
2019-01-15,749687
2019-01-16,1066528
2019-01-17,438824
2019-01-18,705268
2019-01-19,910228
2019-01-20,468224
2019-01-21,1099518
2019-01-22,976455
2019-01-23,669317
2019-01-24,672064
2019-01-25,571197
2019-01-26,782587
2019-01-27,734973
2019-01-28,1035275
2019-01-29,600271
2019-01-30,589908
2019-01-31,651995
2019-02-01,350200
2019-02-02,897669
2019-02-03,513576
2019-02-04,1261018
2019-02-05,978843
2019-02-06,1274682
2019-02-07,946325
2019-02-08,1180281
2019-02-09,381014
2019-02-10,565842
2019-02-11,1011891
2019-02-12,1333944
2019-02-13,983393
2019-02-14,613943
2019-02-15,373904
2019-02-16,660190
2019-02-17,746841
2019-02-18,898098
2019-02-19,561868
2019-02-20,850585
2019-02-21,782342
2019-02-22,1279196
2019-02-23,1050150
2019-02-24,1024054
2019-02-25,481337
2019-02-26,603130
2019-02-27,735409
2019-02-28,555574
2019-03-01,1037578
2019-03-02,733565
2019-03-03,832481
2019-03-04,782340
2019-03-05,926245
2019-03-06,918383
2019-03-07,1343904
2019-03-08,835181
2019-03-09,1366030
2019-03-10,826962
2019-03-11,997426
2019-03-12,1169269
2019-03-13,500065
2019-03-14,1234394
2019-03-15,691391
2019-03-16,449212
2019-03-17,624030
2019-03-18,435765
2019-03-19,944202
2019-03-20,1411842
2019-03-21,484700
2019-03-22,570107
2019-03-23,1036671
2019-03-24,844695
2019-03-25,903055
2019-03-26,879105
2019-03-27,299312
2019-03-28,729387
2019-03-29,853104
2019-03-30,645244
2019-03-31,914563
2019-04-01,1198670
2019-04-02,487759
2019-04-03,815591
2019-04-04,1177208
2019-04-05,1031699
2019-04-06,978541
2019-04-07,964116
2019-04-08,1003982
2019-04-09,1152390
2019-04-10,440073
2019-04-11,946334
2019-04-12,937495
2019-04-13,566488
2019-04-14,1179955
2019-04-15,546935
2019-04-16,778311
2019-04-17,1235458
2019-04-18,1048760
2019-04-19,835246
2019-04-20,589398
2019-04-21,676727
2019-04-22,1494564
2019-04-23,1216960
2019-04-24,377373
2019-04-25,269254
2019-04-26,989620
2019-04-27,884305
2019-04-28,149252
2019-04-29,1618434
2019-04-30,828826
2019-05-01,1171983
2019-05-02,514823
2019-05-03,1106010
2019-05-04,772245
2019-05-05,1122115
2019-05-06,199934
2019-05-07,1009591
2019-05-08,1169278
2019-05-09,824489
2019-05-10,841914
2019-05-11,1243377
2019-05-12,601415
2019-05-13,652976
2019-05-14,844552
2019-05-15,1024046
2019-05-16,1324962
2019-05-17,708217
2019-05-18,513648
2019-05-19,839968
2019-05-20,862478
2019-05-21,1022076
2019-05-22,895052
2019-05-23,739850
2019-05-24,1285578
2019-05-25,585379
2019-05-26,466098
2019-05-27,716767
2019-05-28,410931
2019-05-29,534673
2019-05-30,750083
2019-05-31,743531
2019-06-01,850605
2019-06-02,782763
2019-06-03,292951
2019-06-04,891779
2019-06-05,1012685
2019-06-06,865786
2019-06-07,1230423
2019-06-08,881735
2019-06-09,1441953
2019-06-10,952603
2019-06-11,912134
2019-06-12,410002
2019-06-13,1298478
2019-06-14,873710
2019-06-15,1001491
2019-06-16,632130
2019-06-17,419124
2019-06-18,428614
2019-06-19,697862
2019-06-20,1005729
2019-06-21,503144
2019-06-22,1017252
2019-06-23,1082609
2019-06-24,770348
2019-06-25,486725
2019-06-26,882272
2019-06-27,708281
2019-06-28,802040
2019-06-29,686264
2019-06-30,1028498
2019-07-01,838414
2019-07-02,516753
2019-07-03,510941
2019-07-04,1087291
2019-07-05,407585
2019-07-06,400369
2019-07-07,1104146
2019-07-08,1288141
2019-07-09,1036896
2019-07-10,514134
2019-07-11,1295105
2019-07-12,687609
2019-07-13,576129
2019-07-14,1307408
2019-07-15,724583
2019-07-16,422483
2019-07-17,469598
2019-07-18,419594
2019-07-19,779102
2019-07-20,680788
2019-07-21,957294
2019-07-22,288370
2019-07-23,834347
2019-07-24,1019588
2019-07-25,1406887
2019-07-26,344196
2019-07-27,638148
2019-07-28,710097
2019-07-29,1256204
2019-07-30,460545
2019-07-31,530247
2019-08-01,1716726
2019-08-02,830453
2019-08-03,522121
2019-08-04,622478
2019-08-05,336915
2019-08-06,1156066
2019-08-07,694476
2019-08-08,1021541
2019-08-09,889736
2019-08-10,1065138
2019-08-11,561407
2019-08-12,907899
2019-08-13,728388
2019-08-14,1128274
2019-08-15,215083
2019-08-16,987517
2019-08-17,784308
2019-08-18,480211
2019-08-19,417090
2019-08-20,582287
2019-08-21,1040904
2019-08-22,1256077
2019-08-23,524747
2019-08-24,871902
2019-08-25,827126
2019-08-26,964452
2019-08-27,1153008
2019-08-28,823736
2019-08-29,907759
2019-08-30,529332
2019-08-31,956356
2019-09-01,705555
2019-09-02,765580
2019-09-03,1153389
2019-09-04,652012
2019-09-05,507976
2019-09-06,807195
2019-09-07,724060
2019-09-08,645633
2019-09-09,1267291
2019-09-10,1243840
2019-09-11,770130
2019-09-12,912912
2019-09-13,700046
2019-09-14,931199
2019-09-15,833994
2019-09-16,704109
2019-09-17,465276
2019-09-18,604369
2019-09-19,501989
2019-09-20,601843
2019-09-21,482594
2019-09-22,371937
2019-09-23,802024
2019-09-24,1280657
2019-09-25,1015835
2019-09-26,781957
2019-09-27,776476
2019-09-28,632618
2019-09-29,854168
2019-09-30,500642
2019-10-01,517895
2019-10-02,711663
2019-10-03,839946
2019-10-04,942924
2019-10-05,1043738
2019-10-06,1422406
2019-10-07,688668
2019-10-08,932227
2019-10-09,566362
2019-10-10,583473
2019-10-11,863051
2019-10-12,753626
2019-10-13,511334
2019-10-14,709773
2019-10-15,791011
2019-10-16,966463
2019-10-17,835604
2019-10-18,857775
2019-10-19,1076766
2019-10-20,764017
2019-10-21,973373
2019-10-22,859560
2019-10-23,652187
2019-10-24,927008
2019-10-25,595668
2019-10-26,903733
2019-10-27,817464
2019-10-28,890855
2019-10-29,554973
2019-10-30,727979
2019-10-31,849540
2019-11-01,850602
2019-11-02,799313
2019-11-03,857768
2019-11-04,688624
2019-11-05,952313
2019-11-06,478979
2019-11-07,732758
2019-11-08,407941
2019-11-09,932740
2019-11-10,933694
2019-11-11,878937
2019-11-12,978492
2019-11-13,398767
2019-11-14,683841
2019-11-15,1281531
2019-11-16,426999
2019-11-17,983542
2019-11-18,1006379
2019-11-19,400275
2019-11-20,1304467
2019-11-21,658172
2019-11-22,861187
2019-11-23,951097
2019-11-24,1028301
2019-11-25,698374
2019-11-26,1139694
2019-11-27,938368
2019-11-28,1295401
2019-11-29,697421
2019-11-30,821065
2019-12-01,745808
2019-12-02,852040
2019-12-03,974751
2019-12-04,768074
2019-12-05,661596
2019-12-06,565360
2019-12-07,1247546
2019-12-08,429291
2019-12-09,933755
2019-12-10,705738
2019-12-11,511475
2019-12-12,617620
2019-12-13,727744
2019-12-14,624536
2019-12-15,548455
2019-12-16,671648
2019-12-17,1180114
2019-12-18,738038
2019-12-19,878939
2019-12-20,1124131
2019-12-21,593390
2019-12-22,1515042
2019-12-23,1042731
2019-12-24,666588
2019-12-25,990499
2019-12-26,617418
2019-12-27,335773
2019-12-28,1401722
2019-12-29,1021397
2019-12-30,833100
2019-12-31,838604
2020-01-01,796849
2020-01-02,1186965
2020-01-03,647908
2020-01-04,461684
2020-01-05,631970
2020-01-06,499174
2020-01-07,845748
2020-01-08,649007
2020-01-09,581788
2020-01-10,652532
2020-01-11,916713
2020-01-12,868948
2020-01-13,1188006
2020-01-14,976993
2020-01-15,848861
2020-01-16,1107241
2020-01-17,1042603
2020-01-18,958981
2020-01-19,375704
2020-01-20,829621
2020-01-21,598744
2020-01-22,1006001
2020-01-23,701383
2020-01-24,860324
2020-01-25,888965
2020-01-26,375447
2020-01-27,708900
2020-01-28,913404
2020-01-29,446044
2020-01-30,461255
2020-01-31,1030446
2020-02-01,499741
2020-02-02,691757
2020-02-03,1138727
2020-02-04,758920
2020-02-05,854561
2020-02-06,438755
2020-02-07,849136
2020-02-08,1467863
2020-02-09,1016426
2020-02-10,308996
2020-02-11,917106
2020-02-12,515739
2020-02-13,828406
2020-02-14,1057745
2020-02-15,1284022
2020-02-16,958128
2020-02-17,1610258
2020-02-18,1227154
2020-02-19,897791
2020-02-20,849043
2020-02-21,837385
2020-02-22,714169
2020-02-23,759875
2020-02-24,533521
2020-02-25,829254
2020-02-26,571962
2020-02-27,845766
2020-02-28,1300063
2020-02-29,472450
2020-03-01,372491
2020-03-02,1032734
2020-03-03,341101
2020-03-04,605655
2020-03-05,220623
2020-03-06,719435
2020-03-07,1132751
2020-03-08,1165333
2020-03-09,662699
2020-03-10,1528067
2020-03-11,1134798
2020-03-12,394597
2020-03-13,829246
2020-03-14,1494299
2020-03-15,523552
2020-03-16,1130489
2020-03-17,685390
2020-03-18,601206
2020-03-19,969650
2020-03-20,576250
2020-03-21,453630
2020-03-22,672337
2020-03-23,701091
2020-03-24,745658
2020-03-25,244046
2020-03-26,473770
2020-03-27,927149
2020-03-28,1259004
2020-03-29,496969
2020-03-30,847899
2020-03-31,914839
2020-04-01,351163
2020-04-02,1133065
2020-04-03,822772
2020-04-04,945374
2020-04-05,1160767
2020-04-06,825341
2020-04-07,823549
2020-04-08,602999
2020-04-09,762128
2020-04-10,1009103
2020-04-11,1274045
2020-04-12,1338799
2020-04-13,858365
2020-04-14,1399079
2020-04-15,906619
2020-04-16,606197
2020-04-17,927776
2020-04-18,1048311
2020-04-19,1178986
2020-04-20,1031458
2020-04-21,909668
2020-04-22,636646
2020-04-23,1068106
2020-04-24,796959
2020-04-25,936318
2020-04-26,2063469
2020-04-27,1083576
2020-04-28,861221
2020-04-29,1022460
2020-04-30,1012214
2020-05-01,1076856
2020-05-02,1104195
2020-05-03,1119192
2020-05-04,1247564
2020-05-05,1034047
2020-05-06,1300671
2020-05-07,1014978
2020-05-08,1119863
2020-05-09,1178773
2020-05-10,1425242
2020-05-11,801426
2020-05-12,933606
2020-05-13,1082898
2020-05-14,803300
2020-05-15,255829
2020-05-16,1230209
2020-05-17,854462
2020-05-18,1317608
2020-05-19,712528
2020-05-20,431135
2020-05-21,1080578
2020-05-22,917927
2020-05-23,1036591
2020-05-24,1057261
2020-05-25,502199
2020-05-26,883344
2020-05-27,525704
2020-05-28,555570
2020-05-29,593857
2020-05-30,894150
2020-05-31,949094
2020-06-01,1288082
2020-06-02,884128
2020-06-03,750445
2020-06-04,733179
2020-06-05,918604
2020-06-06,397110
2020-06-07,299312
2020-06-08,927349
2020-06-09,490503
2020-06-10,429128
2020-06-11,330423
2020-06-12,443304
2020-06-13,758070
2020-06-14,764431
2020-06-15,849749
2020-06-16,346020
2020-06-17,720251
2020-06-18,489238
2020-06-19,759861
2020-06-20,433156
2020-06-21,716977
2020-06-22,565602
2020-06-23,395847
2020-06-24,886482
2020-06-25,481240
2020-06-26,560683
2020-06-27,494017
2020-06-28,747553
2020-06-29,839431
2020-06-30,623734
2020-07-01,576318
2020-07-02,690966
2020-07-03,977686
2020-07-04,357199
2020-07-05,524202
2020-07-06,670498
2020-07-07,286141
2020-07-08,620687
2020-07-09,761582
2020-07-10,452954
2020-07-11,408324
2020-07-12,369552
2020-07-13,378595
2020-07-14,532605
2020-07-15,396681
2020-07-16,727529
2020-07-17,677976
2020-07-18,461146
2020-07-19,498380
2020-07-20,633617
2020-07-21,398008
2020-07-22,567614
2020-07-23,447884
2020-07-24,216307
2020-07-25,736456
2020-07-26,555154
2020-07-27,799721
2020-07-28,551822
2020-07-29,196978
2020-07-30,558935
2020-07-31,479465
2020-08-01,831959
2020-08-02,567201
2020-08-03,261318
2020-08-04,220219
2020-08-05,566831
2020-08-06,458493
2020-08-07,814917
2020-08-08,450560
2020-08-09,643226
2020-08-10,307784
2020-08-11,605932
2020-08-12,249553
2020-08-13,737046
2020-08-14,337453
2020-08-15,642536
2020-08-16,521862
2020-08-17,860124
2020-08-18,1123152
2020-08-19,287000
2020-08-20,1213185
2020-08-21,510424
2020-08-22,338675
2020-08-23,316928
2020-08-24,694449
2020-08-25,725689
2020-08-26,650081
2020-08-27,649765
2020-08-28,228968
2020-08-29,348185
2020-08-30,741254
2020-08-31,405423
2020-09-01,1140576
2020-09-02,424426
2020-09-03,747154
2020-09-04,469892
2020-09-05,836635
2020-09-06,863123
2020-09-07,383524
2020-09-08,407510
2020-09-09,401185
2020-09-10,711700
2020-09-11,115814
2020-09-12,554336
2020-09-13,563923
2020-09-14,409431
2020-09-15,260793
2020-09-16,246013
2020-09-17,411877
2020-09-18,455084
2020-09-19,714399
