date,value
1967-01-01,68.5
1967-02-01,68.5
1967-03-01,68.5
1967-04-01,68.5
1967-05-01,68.5
1967-06-01,68.5
1967-07-01,68.5
1967-08-01,68.5
1967-09-01,68.5
1967-10-01,68.5
1967-11-01,68.5
1967-12-01,68.5
1968-01-01,60.5
1968-02-01,60.5
1968-03-01,60.5
1968-04-01,60.5
1968-05-01,60.5
1968-06-01,60.5
1968-07-01,60.5
1968-08-01,60.5
1968-09-01,60.5
1968-10-01,60.5
1968-11-01,60.5
1968-12-01,60.5
1969-01-01,58.0
1969-02-01,58.0
1969-03-01,58.0
1969-04-01,58.0
1969-05-01,58.0
1969-06-01,58.0
1969-07-01,58.0
1969-08-01,58.0
1969-09-01,58.0
1969-10-01,58.0
1969-11-01,58.0
1969-12-01,58.0
1970-01-01,54.0
1970-02-01,54.0
1970-03-01,54.0
1970-04-01,54.0
1970-05-01,54.0
1970-06-01,54.0
1970-07-01,54.0
1970-08-01,54.0
1970-09-01,54.0
1970-10-01,54.0
1970-11-01,54.0
1970-12-01,54.0
1971-01-01,57.5
1971-02-01,57.5
1971-03-01,57.5
1971-04-01,57.5
1971-05-01,57.5
1971-06-01,57.5
1971-07-01,66.0
1971-08-01,66.0
1971-09-01,66.0
1971-10-01,66.0
1971-11-01,66.0
1971-12-01,66.0
1972-01-01,83.0
1972-02-01,83.0
1972-03-01,83.0
1972-04-01,83.0
1972-05-01,83.0
1972-06-01,83.0
1972-07-01,99.0
1972-08-01,99.0
1972-09-01,99.0
1972-10-01,99.0
1972-11-01,99.0
1972-12-01,99.0
1973-01-01,105.0
1973-02-01,105.0
1973-03-01,105.0
1973-04-01,105.0
1973-05-01,105.0
1973-06-01,105.0
1973-07-01,132.5
1973-08-01,132.5
1973-09-01,132.5
1973-10-01,132.5
1973-11-01,132.5
1973-12-01,132.5
1974-01-01,215.0
1974-02-01,232.5
1974-03-01,262.5
1974-04-01,293.8
1974-05-01,301.3
1974-06-01,339.5
1974-07-01,358.1
1974-08-01,365.0
1974-09-01,405.0
1974-10-01,405.0
1974-11-01,405.0
1974-12-01,408.8
1975-01-01,396.0
1975-02-01,383.0
1975-03-01,363.0
1975-04-01,307.0
1975-05-01,242.0
1975-06-01,194.0
1975-07-01,181.0
1975-08-01,185.0
1975-09-01,192.0
1975-10-01,162.0
1975-11-01,150.0
1975-12-01,155.0
1976-01-01,130.0
1976-02-01,125.0
1976-03-01,126.0
1976-04-01,113.0
1976-05-01,104.0
1976-06-01,100.0
1976-07-01,120.0
1976-08-01,125.0
1976-09-01,140.0
1976-10-01,128.0
1976-11-01,115.0
1976-12-01,113.0
1977-01-01,130.0
1977-02-01,133.0
1977-03-01,137.0
1977-04-01,134.0
1977-05-01,129.0
1977-06-01,133.0
1977-07-01,133.0
1977-08-01,143.0
1977-09-01,148.0
1977-10-01,138.0
1977-11-01,123.0
1977-12-01,128.0
1978-01-01,138.0
1978-02-01,138.0
1978-03-01,137.0
1978-04-01,131.0
1978-05-01,128.0
1978-06-01,130.0
1978-07-01,137.0
1978-08-01,143.0
1978-09-01,151.5
1978-10-01,151.5
1978-11-01,151.5
1978-12-01,141.5
1979-01-01,153.0
1979-02-01,157.5
1979-03-01,162.5
1979-04-01,164.0
1979-05-01,162.0
1979-06-01,175.5
1979-07-01,187.5
1979-08-01,207.5
1979-09-01,215.0
1979-10-01,247.5
1979-11-01,242.0
1979-12-01,246.0
1980-01-01,257.0
1980-02-01,257.5
1980-03-01,260.5
1980-04-01,202.5
1980-05-01,211.0
1980-06-01,212.5
1980-07-01,215.0
1980-08-01,215.0
1980-09-01,205.0
1980-10-01,202.5
1980-11-01,214.0
1980-12-01,214.0
1981-01-01,227.5
1981-02-01,226.0
1981-03-01,207.5
1981-04-01,193.0
1981-05-01,195.5
1981-06-01,190.0
1981-07-01,177.5
1981-08-01,179.5
1981-09-01,130.0
1981-10-01,122.5
1981-11-01,145.0
1981-12-01,137.5
1982-01-01,135.0
1982-02-01,190.0
1982-03-01,190.0
1982-04-01,168.5
1982-05-01,166.0
1982-06-01,167.0
1982-07-01,168.0
1982-08-01,165.5
1982-09-01,167.0
1982-10-01,163.5
1982-11-01,160.5
1982-12-01,158.5
1983-01-01,150.5
1983-02-01,164.0
1983-03-01,179.5
1983-04-01,180.5
1983-05-01,171.5
1983-06-01,158.5
1983-07-01,157.5
1983-08-01,154.5
1983-09-01,160.0
1983-10-01,174.0
1983-11-01,188.5
1983-12-01,190.0
1984-01-01,191.5
1984-02-01,204.0
1984-03-01,201.0
1984-04-01,198.5
1984-05-01,171.5
1984-06-01,156.0
1984-07-01,163.5
1984-08-01,170.5
1984-09-01,168.0
1984-10-01,166.0
1984-11-01,160.5
1984-12-01,156.5
1985-01-01,158.5
1985-02-01,156.0
1985-03-01,179.5
1985-04-01,179.5
1985-05-01,154.0
1985-06-01,151.5
1985-07-01,151.0
1985-08-01,155.5
1985-09-01,154.0
