date,value
1977-01-01,2.77
1977-02-01,2.77
1977-03-01,2.77
1977-04-01,2.77
1977-05-01,2.77
1977-06-01,2.77
1977-07-01,2.77
1977-08-01,2.77
1977-09-01,2.77
1977-10-01,2.77
1977-11-01,2.77
1977-12-01,2.77
1978-01-01,3.04
1978-02-01,3.04
1978-03-01,3.04
1978-04-01,3.04
1978-05-01,3.04
1978-06-01,3.04
1978-07-01,3.04
1978-08-01,3.04
1978-09-01,3.04
1978-10-01,3.04
1978-11-01,3.04
1978-12-01,3.04
1979-01-01,3.69
1979-02-01,3.69
1979-03-01,3.69
1979-04-01,3.69
1979-05-01,3.69
1979-06-01,3.69
1979-07-01,3.69
1979-08-01,3.69
1979-09-01,3.69
1979-10-01,3.69
1979-11-01,3.69
1979-12-01,3.69
1980-01-01,5.7
1980-02-01,5.7
1980-03-01,5.7
1980-04-01,5.7
1980-05-01,5.7
1980-06-01,5.7
1980-07-01,5.7
1980-08-01,5.7
1980-09-01,5.7
1980-10-01,5.7
1980-11-01,5.7
1980-12-01,5.7
1981-01-01,6.03
1981-02-01,6.03
1981-03-01,6.03
1981-04-01,6.03
1981-05-01,6.03
1981-06-01,6.03
1981-07-01,6.03
1981-08-01,6.03
1981-09-01,6.03
1981-10-01,6.03
1981-11-01,6.03
1981-12-01,6.03
1982-01-01,6.05
1982-02-01,6.05
1982-03-01,6.05
1982-04-01,6.05
1982-05-01,6.05
1982-06-01,6.05
1982-07-01,6.05
1982-08-01,6.05
1982-09-01,6.05
1982-10-01,6.05
1982-11-01,6.05
1982-12-01,6.05
1983-01-01,5.55
1983-02-01,5.55
1983-03-01,5.55
1983-04-01,5.55
1983-05-01,5.55
1983-06-01,5.55
1983-07-01,5.55
1983-08-01,5.55
1983-09-01,5.55
1983-10-01,5.55
1983-11-01,5.55
1983-12-01,5.55
1984-01-01,5.24
1984-02-01,5.24
1984-03-01,5.24
1984-04-01,5.24
1984-05-01,5.24
1984-06-01,5.24
1984-07-01,5.24
1984-08-01,5.24
1984-09-01,5.24
1984-10-01,5.24
1984-11-01,5.24
1984-12-01,5.24
1985-01-01,5.23
1985-02-01,5.23
1985-03-01,5.23
1985-04-01,5.23
1985-05-01,5.23
1985-06-01,5.23
1985-07-01,5.23
1985-08-01,5.23
1985-09-01,5.23
1985-10-01,5.23
1985-11-01,5.23
1985-12-01,5.23
1986-01-01,4.1
1986-02-01,4.1
1986-03-01,4.1
1986-04-01,4.1
1986-05-01,4.1
1986-06-01,4.1
1986-07-01,4.1
1986-08-01,4.1
1986-09-01,4.1
1986-10-01,4.1
1986-11-01,4.1
1986-12-01,4.1
1987-01-01,3.35
1987-02-01,3.35
1987-03-01,3.35
1987-04-01,3.35
1987-05-01,3.35
1987-06-01,3.35
1987-07-01,3.35
1987-08-01,3.35
1987-09-01,3.35
1987-10-01,3.35
1987-11-01,3.35
1987-12-01,3.35
1988-01-01,3.34
1988-02-01,3.34
1988-03-01,3.34
1988-04-01,3.34
1988-05-01,3.34
1988-06-01,3.34
1988-07-01,3.34
1988-08-01,3.34
1988-09-01,3.34
1988-10-01,3.34
1988-11-01,3.34
1988-12-01,3.34
1989-01-01,3.28
1989-02-01,3.28
1989-03-01,3.28
1989-04-01,3.28
1989-05-01,3.28
1989-06-01,3.28
1989-07-01,3.28
1989-08-01,3.28
1989-09-01,3.28
1989-10-01,3.28
1989-11-01,3.28
1989-12-01,3.28
1990-01-01,3.64
1990-02-01,3.64
1990-03-01,3.64
1990-04-01,3.64
1990-05-01,3.64
1990-06-01,3.64
1990-07-01,3.64
1990-08-01,3.64
1990-09-01,3.64
1990-10-01,3.64
1990-11-01,3.64
1990-12-01,3.64
1991-01-01,3.99
1991-02-01,3.99
1991-03-01,3.99
1991-04-01,3.99
1991-05-01,3.99
1991-06-01,3.99
1991-07-01,3.99
1991-08-01,3.99
1991-09-01,3.99
1991-10-01,3.99
1991-11-01,3.99
1991-12-01,3.99
1992-01-01,3.6
1992-02-01,3.51
1992-03-01,3.59
1992-04-01,3.53
1992-05-01,3.47
1992-06-01,3.49
1992-07-01,3.61
1992-08-01,3.65
1992-09-01,3.63
1992-10-01,3.7
1992-11-01,3.65
1992-12-01,3.71
1993-01-01,3.64
1993-02-01,3.61
1993-03-01,3.59
1993-04-01,3.62
1993-05-01,3.57
1993-06-01,3.54
1993-07-01,3.54
1993-08-01,3.49
1993-09-01,3.48
1993-10-01,3.39
1993-11-01,3.36
1993-12-01,3.25
1994-01-01,3.12
1994-02-01,3.19
1994-03-01,3.15
1994-04-01,3.07
1994-05-01,3.06
1994-06-01,3.1
1994-07-01,3.14
1994-08-01,3.24
1994-09-01,3.28
1994-10-01,3.26
1994-11-01,3.26
1994-12-01,3.29
1995-01-01,3.36
1995-02-01,3.4
1995-03-01,3.46
1995-04-01,3.45
1995-05-01,3.53
1995-06-01,3.56
1995-07-01,3.48
1995-08-01,3.46
1995-09-01,3.46
1995-10-01,3.45
1995-11-01,3.41
1995-12-01,3.37
1996-01-01,3.43
1996-02-01,3.48
1996-03-01,3.47
1996-04-01,3.56
1996-05-01,3.6
1996-06-01,3.6
1996-07-01,3.61
1996-08-01,3.68
1996-09-01,3.68
1996-10-01,3.79
1996-11-01,4.03
1996-12-01,4.08
1997-01-01,4.13
1997-02-01,4.22
1997-03-01,4.25
1997-04-01,4.07
1997-05-01,4.03
1997-06-01,4.03
1997-07-01,3.89
1997-08-01,3.69
1997-09-01,3.69
1997-10-01,3.62
1997-11-01,3.68
1997-12-01,3.6
1998-01-01,3.54
1998-02-01,3.43
1998-03-01,3.44
1998-04-01,3.19
1998-05-01,3.0
1998-06-01,3.0
1998-07-01,2.84
1998-08-01,2.79
1998-09-01,2.74
1998-10-01,2.76
1998-11-01,2.78
1998-12-01,2.72
1999-01-01,2.77
1999-02-01,2.78
1999-03-01,2.78
1999-04-01,2.76
1999-05-01,2.88
1999-06-01,2.93
1999-07-01,2.99
1999-08-01,3.17
1999-09-01,3.35
1999-10-01,3.57
1999-11-01,3.73
1999-12-01,3.94
2000-01-01,4.15
2000-02-01,4.21
2000-03-01,4.46
