episode_id,route,series,start_date,end_date,trough_date,duration_days,n_impaired_days,baseline_at_trough,observed_at_trough,fractional_impairment,mean_fractional_impairment,tanker_days_lost,n_ineligible_days_in_span,detector_version
bab_el_mandeb.n_tanker.2020-10-01,bab_el_mandeb,portwatch.bab_el_mandeb.n_tanker,2020-10-01,2020-10-07,2020-10-07,7,5,18.0,9.0,0.5,0.388889,35.0,0,1.0.0
bab_el_mandeb.n_tanker.2023-12-28,bab_el_mandeb,portwatch.bab_el_mandeb.n_tanker,2023-12-28,2024-08-25,2024-05-31,242,208,23.0,3.0,0.869565,0.517532,2517.0,0,1.0.0
bab_el_mandeb.n_tanker.2024-08-29,bab_el_mandeb,portwatch.bab_el_mandeb.n_tanker,2024-08-29,2024-09-10,2024-09-07,13,10,15.0,5.0,0.666667,0.490417,76.0,0,1.0.0
bab_el_mandeb.n_tanker.2024-10-09,bab_el_mandeb,portwatch.bab_el_mandeb.n_tanker,2024-10-09,2024-10-17,2024-10-09,9,6,14.0,4.0,0.714286,0.470696,38.0,0,1.0.0
bab_el_mandeb.n_tanker.2024-11-15,bab_el_mandeb,portwatch.bab_el_mandeb.n_tanker,2024-11-15,2024-11-27,2024-11-21,13,5,13.0,7.0,0.461538,0.380769,24.0,0,1.0.0
bab_el_mandeb.n_tanker.2025-07-19,bab_el_mandeb,portwatch.bab_el_mandeb.n_tanker,2025-07-19,2025-07-30,2025-07-23,12,6,11.0,5.0,0.545455,0.424242,28.0,0,1.0.0
bab_el_mandeb.n_tanker.2025-08-14,bab_el_mandeb,portwatch.bab_el_mandeb.n_tanker,2025-08-14,2025-08-22,2025-08-22,9,5,11.0,6.0,0.454545,0.381818,21.0,0,1.0.0
bab_el_mandeb.n_tanker.2026-07-21,bab_el_mandeb,portwatch.bab_el_mandeb.n_tanker,2026-07-21,2026-08-17,2026-08-05,28,17,13.0,4.0,0.692308,0.516214,111.0,0,1.0.0
bab_el_mandeb.n_tanker.2026-08-21,bab_el_mandeb,portwatch.bab_el_mandeb.n_tanker,2026-08-21,2026-08-30,2026-08-27,10,7,13.0,4.0,0.692308,0.483516,44.0,0,1.0.0
bosporus.n_tanker.2022-03-28,bosporus,portwatch.bosporus.n_tanker,2022-03-28,2022-04-06,2022-04-06,10,8,23.0,4.0,0.826087,0.494565,91.0,0,1.0.0
bosporus.n_tanker.2026-02-15,bosporus,portwatch.bosporus.n_tanker,2026-02-15,2026-02-22,2026-02-16,8,6,24.0,10.0,0.583333,0.423611,61.0,0,1.0.0
bosporus.n_tanker.2026-07-23,bosporus,portwatch.bosporus.n_tanker,2026-07-23,2026-07-30,2026-07-26,8,7,23.0,10.0,0.565217,0.465839,75.0,0,1.0.0
bosporus.n_tanker.2026-08-03,bosporus,portwatch.bosporus.n_tanker,2026-08-03,2026-08-09,2026-08-06,7,6,23.0,13.0,0.434783,0.369565,51.0,0,1.0.0
bosporus.n_tanker.2026-08-13,bosporus,portwatch.bosporus.n_tanker,2026-08-13,2026-08-18,2026-08-16,6,5,23.0,9.0,0.608696,0.513043,59.0,0,1.0.0
hormuz.n_tanker.2020-02-09,hormuz,portwatch.hormuz.n_tanker,2020-02-09,2020-02-16,2020-02-13,8,5,42.0,18.0,0.571429,0.419048,88.0,0,1.0.0
hormuz.n_tanker.2023-11-16,hormuz,portwatch.hormuz.n_tanker,2023-11-16,2023-11-25,2023-11-16,10,5,57.0,30.0,0.473684,0.4,114.0,0,1.0.0
hormuz.n_tanker.2023-12-11,hormuz,portwatch.hormuz.n_tanker,2023-12-11,2023-12-18,2023-12-14,8,6,57.0,31.0,0.45614,0.368421,126.0,0,1.0.0
hormuz.n_tanker.2024-01-29,hormuz,portwatch.hormuz.n_tanker,2024-01-29,2024-02-09,2024-02-02,12,7,55.0,32.0,0.418182,0.397403,153.0,0,1.0.0
hormuz.n_tanker.2024-12-31,hormuz,portwatch.hormuz.n_tanker,2024-12-31,2025-01-09,2025-01-06,10,7,54.0,25.0,0.537037,0.373016,141.0,0,1.0.0
hormuz.n_tanker.2025-11-21,hormuz,portwatch.hormuz.n_tanker,2025-11-21,2026-01-06,2025-12-19,47,35,48.0,17.0,0.645833,0.432143,729.0,0,1.0.0
hormuz.n_tanker.2026-01-11,hormuz,portwatch.hormuz.n_tanker,2026-01-11,2026-01-28,2026-01-26,18,13,48.0,19.0,0.604167,0.451923,282.0,0,1.0.0
hormuz.n_tanker.2026-03-01,hormuz,portwatch.hormuz.n_tanker,2026-03-01,2026-08-30,2026-03-04,183,183,47.0,0.0,1.0,0.920386,6840.0,0,1.0.0
panama.n_tanker.2020-06-05,panama,portwatch.panama.n_tanker,2020-06-05,2020-06-13,2020-06-09,9,5,13.0,7.0,0.461538,0.369231,24.0,0,1.0.0
panama.n_tanker.2020-06-18,panama,portwatch.panama.n_tanker,2020-06-18,2020-07-01,2020-06-24,14,8,13.0,4.0,0.692308,0.413462,43.0,0,1.0.0
panama.n_tanker.2023-11-14,panama,portwatch.panama.n_tanker,2023-11-14,2023-11-28,2023-11-19,15,9,13.0,7.0,0.461538,0.367521,43.0,0,1.0.0
panama.n_tanker.2023-12-04,panama,portwatch.panama.n_tanker,2023-12-04,2023-12-10,2023-12-08,7,5,13.0,6.0,0.538462,0.384615,25.0,0,1.0.0
panama.n_tanker.2023-12-14,panama,portwatch.panama.n_tanker,2023-12-14,2023-12-21,2023-12-19,8,6,13.0,6.0,0.538462,0.371795,29.0,0,1.0.0
panama.n_tanker.2023-12-25,panama,portwatch.panama.n_tanker,2023-12-25,2024-02-13,2024-01-09,51,39,13.0,2.0,0.846154,0.419461,212.0,0,1.0.0
panama.n_tanker.2024-02-17,panama,portwatch.panama.n_tanker,2024-02-17,2024-03-03,2024-03-01,16,10,12.0,6.0,0.5,0.383333,46.0,0,1.0.0
panama.n_tanker.2024-03-10,panama,portwatch.panama.n_tanker,2024-03-10,2024-03-19,2024-03-13,10,5,12.0,5.0,0.583333,0.4,24.0,0,1.0.0
suez.n_tanker.2020-08-08,suez,portwatch.suez.n_tanker,2020-08-08,2020-08-23,2020-08-22,16,11,17.0,5.0,0.705882,0.465241,87.0,0,1.0.0
suez.n_tanker.2020-09-02,suez,portwatch.suez.n_tanker,2020-09-02,2020-09-11,2020-09-08,10,6,17.0,8.0,0.529412,0.441176,45.0,0,1.0.0
suez.n_tanker.2020-09-15,suez,portwatch.suez.n_tanker,2020-09-15,2020-09-23,2020-09-23,9,6,16.0,7.0,0.5625,0.436887,44.0,0,1.0.0
suez.n_tanker.2021-03-23,suez,portwatch.suez.n_tanker,2021-03-23,2021-03-28,2021-03-25,6,6,15.0,0.0,1.0,0.824306,75.0,0,1.0.0
suez.n_tanker.2024-01-07,suez,portwatch.suez.n_tanker,2024-01-07,2024-05-06,2024-03-24,121,103,24.0,6.0,0.75,0.474225,1191.0,0,1.0.0
suez.n_tanker.2024-05-11,suez,portwatch.suez.n_tanker,2024-05-11,2024-06-03,2024-05-27,24,14,23.0,7.0,0.695652,0.415867,132.0,0,1.0.0
suez.n_tanker.2024-06-08,suez,portwatch.suez.n_tanker,2024-06-08,2024-07-23,2024-07-02,46,27,21.0,8.0,0.619048,0.445134,251.0,0,1.0.0
suez.n_tanker.2024-11-14,suez,portwatch.suez.n_tanker,2024-11-14,2024-11-21,2024-11-18,8,5,16.0,7.0,0.5625,0.425,34.0,0,1.0.0
suez.n_tanker.2024-11-28,suez,portwatch.suez.n_tanker,2024-11-28,2024-12-04,2024-11-29,7,5,16.0,8.0,0.5,0.391667,31.0,0,1.0.0
